policy_name,model_id,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,improvement_vs_pyfrbus_baseline_pct,improvement_vs_pyfrbus_baseline_revealed_pct,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,solver_status,improvement_vs_US_SW07_baseline_pct,improvement_vs_US_SW07_baseline_revealed_pct,improvement_vs_US_CCTW10_baseline_pct,improvement_vs_US_CCTW10_baseline_revealed_pct,improvement_vs_US_KS15_baseline_pct,improvement_vs_US_KS15_baseline_revealed_pct,improvement_vs_NK_CW09_baseline_pct,improvement_vs_NK_CW09_baseline_revealed_pct
ppo_ann_direct_nonlinear,pyfrbus,51.98250185459621,2.548199589455531,142.61032060921718,6.612530556844125,0.0353706616839313,5.004100250016252,0.1077880276347329,4.218270095782638,0.1212174036958323,-367577.7898138695,-768377.1442065566,,,,,,,,,,,,,
sac_ann_revealed_direct,pyfrbus,91.14805135922514,4.530200746957816,175.2184577233994,8.650608611372931,0.0544946654756226,8.94434468634005,0.0353373831216808,4.7120883568663245,0.5723246538965834,-644599.9061981044,-944090.9914257108,,,,,,,,,,,,,
ppo_svar_direct_nonlinear,pyfrbus,157.64639503899605,7.665231185862695,488.4378982130552,22.28022451098596,0.1050248962609949,15.031575859744107,0.4441835972964625,5.141490837664843,0.5024366063095587,-1114949.7962217112,-2631921.0173958587,,,,,,,,,,,,,
ppo_svar_revealed_direct,pyfrbus,673.6589324228805,32.926353539334734,1523.4653805640494,72.03205734314868,0.4721588804332381,64.76444238189453,0.7197346795423515,8.614190863058246,0.5554951928844954,-4764761.607747247,-8209322.150880067,,,,,,,,,,,,,
ppo_ann_revealed_direct,pyfrbus,795.6563383480483,39.01956744657816,1699.59974424227,81.14782418196447,0.566819685278798,76.77718856312951,0.6415347973460153,9.5275382138379,0.7948619019317604,-5627662.294964269,-9158448.63918648,,,,,,,,,,,,,
ppo_svar_revealed_direct_nonlinear,pyfrbus,834.2181951269395,40.74838690309226,2329.1331450733846,107.53569136731596,0.6034511582469779,79.92682687562036,1.8152230703509125,9.600519145548931,0.0001265482548732,-5900414.428196349,-12550783.976395365,,,,,,,,,,,,,
ppo_ann_revealed_direct_nonlinear,pyfrbus,866.9785740550913,42.34088586079972,2434.38652652293,112.31916844494958,0.6304086573610953,83.03786072899358,1.915468389418387,9.780303845058135,9.73133763072078e-08,-6132132.088717198,-13117957.63990652,,,,,,,,,,,,,
US_SW07_baseline,US_SW07,1412.3615703556775,15.94399868305194,4495.977759999003,46.90340124767614,5.562754988650665,20.531095862354498,1.156957632240235,0.8615935909811558,2.3674678071665505,,,external_baseline,0.0,0.0,0.0,ok,0.0,0.0,,,,,,
sac_svar_direct,US_SW07,7185.149458323413,86.05664775477354,27700.47724029209,289.88622525938365,80.86999424767886,8.365491435254723,10.039077894673149,4.079838691884226,8.881152079621284,,,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,ok,-408.73300499913523,-516.1168653178177,,,,,,
sac_benchmark_transfer,US_SW07,13563.022755750211,166.60305832446244,34767.464255136656,382.68225422160015,163.86778080023808,3.3208847911101667,10.748351286692372,5.568780256086284,11.904129742901874,,,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,ok,-860.3081137597516,-673.3015177358076,,,,,,
td3_svar_direct,US_SW07,15414.475256618667,188.8515423485044,51077.94858076863,570.7554382537643,185.61719469702885,2.6570422038059234,19.058265495725717,5.9501483713356285,12.757345541123014,,,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,ok,-991.3972441728794,-1036.0809885496399,,,,,,
sac_svar_revealed_direct,US_SW07,16595.96581761439,194.3082116179561,21310.120516430703,238.361508728038,188.22971827067454,11.761060888741689,1.9796290291073577,4.920412584270468,10.409656686548786,,,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,ok,-1075.05079194664,-373.9818934610439,,,,,,
td3_benchmark_transfer,US_SW07,17725.85665000816,219.21275345790949,39698.66294473229,444.7253522570698,217.2695387832529,1.6359204155622251,11.252544668754888,6.303220259160211,13.428366218651428,,,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,ok,-1155.050903540531,-782.9817464386455,,,,,,
