policy_name,period,rff,picxfe,pitarg,xgap,inflation_gap,lagged_rff,rate_change
sac_svar_direct,2042Q1,3.1225243704826964,1.9109700092074806,2.0,-1.0763977387162798,-0.08902999079251939,3.4214348797497314,-0.298910509267035
sac_svar_direct,2042Q2,3.0897026020267457,1.9091685711914608,2.0,-1.0812999427496102,-0.09083142880853923,3.1225243704826964,-0.03282176845595064
sac_svar_direct,2042Q3,3.090358069537217,1.9071712357601955,2.0,-1.0781996335017812,-0.09282876423980446,3.0897026020267457,0.000655467510471297
sac_svar_direct,2042Q4,3.1850557360461025,1.9035483801826054,2.0,-1.0399139994662565,-0.09645161981739458,3.090358069537217,0.09469766650888545
sac_svar_direct,2043Q1,3.1683811656884187,1.9000710511243684,2.0,-1.0417431210965578,-0.09992894887563164,3.1850557360461025,-0.016674570357683827
sac_svar_direct,2043Q2,3.173605674582709,1.8961178837183261,2.0,-1.0334655017769732,-0.10388211628167388,3.1683811656884187,0.005224508894290381
sac_svar_direct,2043Q3,3.1336848123108316,1.8924981983318399,2.0,-1.0386411290758855,-0.10750180166816015,3.173605674582709,-0.03992086227187741
sac_svar_direct,2043Q4,3.144496504503861,1.888722714479601,2.0,-1.026123719293723,-0.11127728552039895,3.1336848123108316,0.010811692193029465
sac_svar_direct,2044Q1,3.1376323430315174,1.8852039929854711,2.0,-1.0220617870759787,-0.11479600701452886,3.144496504503861,-0.0068641614723436994
sac_svar_direct,2044Q2,3.145376713991866,1.8815301392489874,2.0,-1.01182717460049,-0.11846986075101262,3.1376323430315174,0.007744370960348412
sac_svar_direct,2044Q3,3.1334800783502077,1.87809281264594,2.0,-1.0090079968488248,-0.12190718735406003,3.145376713991866,-0.011896635641658104
sac_svar_direct,2044Q4,3.132326436105422,1.8746812582363832,2.0,-1.0016549277525724,-0.1253187417636168,3.1334800783502077,-0.0011536422447857575
sac_svar_direct,2045Q1,3.127967566707552,1.8714779895803904,2.0,-0.9971081406333856,-0.12852201041960964,3.132326436105422,-0.004358869397870002
sac_svar_direct,2045Q2,3.1328979488619635,1.8682976846567059,2.0,-0.9901917388420299,-0.13170231534329413,3.127967566707552,0.00493038215441155
sac_svar_direct,2045Q3,3.131081757921504,1.8652256096250301,2.0,-0.9861282353474705,-0.13477439037496985,3.1328979488619635,-0.0018161909404597054
sac_svar_direct,2045Q4,3.124453188287413,1.862212608264593,2.0,-0.9812600104975785,-0.1377873917354071,3.131081757921504,-0.006628569634090642
empirical_taylor_rule,2040Q1,3.0902944288841994,1.98026282937,2.0,0.031052037260859984,-0.019737170630000023,3.0000938526302,0.09020057625399946
empirical_taylor_rule,2040Q2,3.162938153382489,1.9793409237365374,2.0,0.01005431628426286,-0.02065907626346264,3.0902944288841994,0.0726437244982896
empirical_taylor_rule,2040Q3,3.217367845170641,1.9774562433299636,2.0,-0.021357103215855065,-0.022543756670036386,3.162938153382489,0.054429691788151935
empirical_taylor_rule,2040Q4,3.2535634225663563,1.9752951699343608,2.0,-0.06160732051942601,-0.02470483006563917,3.217367845170641,0.03619557739571544
empirical_taylor_rule,2041Q1,3.2729365498513645,1.972686837274058,2.0,-0.1051947241374624,-0.027313162725941975,3.2535634225663563,0.019373127285008174
empirical_taylor_rule,2041Q2,3.276482144068676,1.969980848776198,2.0,-0.15324680522125492,-0.030019151223801943,3.2729365498513645,0.0035455942173117094
empirical_taylor_rule,2041Q3,3.2664469969333405,1.9673154025039996,2.0,-0.20066406732034964,-0.03268459749600039,3.276482144068676,-0.010035147135335709
empirical_taylor_rule,2041Q4,3.2454964546917364,1.9648370484094577,2.0,-0.24487254620878232,-0.03516295159054228,3.2664469969333405,-0.020950542241604087
empirical_taylor_rule,2042Q1,3.2166495556660055,1.9626052875994897,2.0,-0.2832730206682821,-0.03739471240051029,3.2454964546917364,-0.0288468990257309
empirical_taylor_rule,2042Q2,3.182935718650597,1.960662255342852,2.0,-0.3143712566311183,-0.0393377446571479,3.2166495556660055,-0.03371383701540864
empirical_taylor_rule,2042Q3,3.1471665435845675,1.9590177369825594,2.0,-0.33750289532957517,-0.04098226301744057,3.182935718650597,-0.03576917506602939
empirical_taylor_rule,2042Q4,3.1117666147181327,1.957659367323332,2.0,-0.3527311744422439,-0.04234063267666799,3.1471665435845675,-0.03539992886643484
empirical_taylor_rule,2043Q1,3.0786842855194956,1.9565570556615643,2.0,-0.36063250665364294,-0.04344294433843565,3.1117666147181327,-0.03308232919863707
empirical_taylor_rule,2043Q2,3.0493619603060784,1.9556697657212643,2.0,-0.3621215278671349,-0.044330234278735725,3.0786842855194956,-0.029322325213417155
empirical_taylor_rule,2043Q3,3.0247507125475632,1.9549510086912425,2.0,-0.3583029921534139,-0.0450489913087575,3.0493619603060784,-0.024611247758515198
empirical_taylor_rule,2043Q4,3.00535425324328,1.9543533661666446,2.0,-0.3503575365568064,-0.04564663383335543,3.0247507125475632,-0.01939645930428302
empirical_taylor_rule,2044Q1,2.991289720609919,1.9538319831454471,2.0,-0.33945937445782576,-0.04616801685455285,3.00535425324328,-0.01406453263336127
empirical_taylor_rule,2044Q2,2.9823567560561517,1.9533469781677415,2.0,-0.32671699563810414,-0.0466530218322585,2.991289720609919,-0.008932964553767242
empirical_taylor_rule,2044Q3,2.9781089748632343,1.952864981532593,2.0,-0.3131312613431014,-0.047135018467407086,2.9823567560561517,-0.004247781192917355
empirical_taylor_rule,2044Q4,2.977923961529928,1.952359912647435,2.0,-0.2995662581839809,-0.047640087352565086,2.9781089748632343,-0.00018501333330611658
empirical_taylor_rule,2045Q1,2.9810689467902005,1.9518131647243304,2.0,-0.28673107445528634,-0.04818683527566958,2.977923961529928,0.0031449852602722927
