policy_name,model_id,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,parent_policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,converged,iterations,clip_rate,max_fixed_point_gap
empirical_taylor_rule_inflation_gap_x0p70,pyfrbus,0.8475019145659604,0.040702160051741765,0.001653947525717853,0.07787018631499232,0.0011311936852775107,3.107391803995913,0.11416280809283211,empirical_taylor_rule,0.2165731284960799,0.13522096803776923,0.2657685748665041,0.8691997672478173,True,13,0.0,0.0
empirical_taylor_rule_output_gap_x0p85,pyfrbus,1.0264946543250444,0.04955310017203877,0.0018070431689369525,0.09527561097626368,0.0010825151496998131,3.122327171917038,0.11300281611937457,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.2259032886365285,0.8691997672478173,True,12,0.0,0.0
empirical_taylor_rule_output_gap_x0p70,pyfrbus,1.3346213401066107,0.06482339603180858,0.0020566049314273793,0.12532037766619797,0.0010660226728221882,3.147234793818143,0.10985963644310207,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.18603800240655288,0.8691997672478173,True,11,0.0,0.0
empirical_taylor_rule_lagged_policy_rate_gap_x0p70,pyfrbus,1.826638459660381,0.08832245390576528,0.0002444239819829127,0.1757901948378543,0.0018293250485522208,2.827144832957604,0.08028144926927672,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.2657685748665041,0.608439837073472,True,11,0.0,0.0
empirical_taylor_rule_all_x0p70,pyfrbus,2.599746301617752,0.12651615745938316,0.0004344178408820186,0.25179044283392743,0.0018651820153741882,2.7839670505454532,0.07315028435731147,empirical_taylor_rule,0.2165731284960799,0.13522096803776923,0.18603800240655288,0.608439837073472,True,10,0.0,0.0
empirical_taylor_rule_int_-0p25,pyfrbus,3.1737687036154747,0.15202331080026008,0.0005610334531265555,0.3022570523385004,0.0033375117788329843,2.8071299690150604,0.188749484189931,empirical_taylor_rule,-0.0334268715039201,0.1931728114825275,0.2657685748665041,0.8691997672478173,True,13,0.0,0.0
sac_svar_revealed_direct_lagged_policy_rate_gap_x0p70,pyfrbus,4.815515713919199,0.23733708339787188,0.0010687446964003815,0.4722099455435959,0.0016336592967353162,2.674897188833995,0.05129291690714986,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.0509750434082332,0.6515060907929398,True,8,0.0,0.0
sac_svar_revealed_direct_all_x0p70,pyfrbus,5.315116443096584,0.2624032484867656,0.0012204858405102934,0.5220363074743958,0.0016460890905735592,2.6532032558363206,0.05258615126808311,sac_svar_revealed_direct,0.1952349032153061,0.04751190027260061,0.03568253038576324,0.6515060907929398,True,8,0.0,0.0
empirical_taylor_rule_all_x1p15,pyfrbus,6.600943947906957,0.3119235350822423,0.0059578116749629375,0.6089584836597388,0.014864815774098985,3.1953053660681285,0.5137272022426981,empirical_taylor_rule,0.2165731284960799,0.2221487332049066,0.3056338610964797,0.9995797323349899,True,15,0.0,0.0
empirical_taylor_rule_lagged_policy_rate_gap_x1p15,pyfrbus,9.08367943577829,0.4330062894977218,0.0076095768951197915,0.8478148447729229,0.014892902161405375,3.255957860707993,0.5465028368059737,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.2657685748665041,0.9995797323349899,True,15,0.0,0.0
