algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,env_id,group,tier,step
sac,43,,,,,-125.27021718815043,113.9658741322138,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,16000.0
sac,43,,,,,-111.71882845796893,101.79919980946111,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,20000.0
sac,43,,,,,-155.93531369035696,146.68564992596205,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,24000.0
sac,43,,,,,-167.5738778278742,158.07400405102644,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,28000.0
td3,43,,,,,-162.17172044825998,151.4173772281481,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,4000.0
td3,43,,,,,-146.34678866288252,132.62100514746905,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,8000.0
td3,43,,,,,-115.04734599849455,104.09684694107814,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,12000.0
td3,43,,,,,-126.59739871170241,112.58731929763509,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,16000.0
td3,43,,,,,-153.5221982432339,143.9678554434559,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,20000.0
td3,43,,,,,-139.80072082120583,130.38635148601273,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,24000.0
td3,43,,,,,-123.15655185811711,115.3537180520053,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,28000.0
ppo,43,0.0,-1130.1364433144113,0.0,1.004573236201395,-1098.499857851731,994.7191767740788,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,
ppo,43,20.0,-1037.9143926787954,0.0,1.0334799020297396,-1010.2541851514379,927.8066515955234,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,
ppo,43,40.0,-1104.0690756763067,0.0,1.0427848279709906,-981.5529776324062,886.7303240263678,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,
ppo,43,60.0,-1083.608141794944,0.0,1.0550028440211463,-1221.8505541707061,1107.1118213001682,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,
ppo,43,80.0,-1148.5171758353151,0.0,1.0659861946014644,-1134.1644615750645,1039.6643613844615,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,
ppo,43,100.0,-1049.6723304863986,0.0,1.1336106626440596,-1182.6767459220398,1075.8542381672748,0.0,nonlinear_extreme_v2,nonlinear,extreme_v2,
