loss_function,evaluation_env,policy_name,action_date,state_date,inflation,inflation_gap,output_gap,lagged_policy_rate,lagged_policy_rate_gap,policy_rate,policy_rate_gap,rate_change,loss,discounted_loss
artificial,ann,ppo_svar_direct_nonlinear,1999-07-01,1999-07-01,3.8472920526698666,1.8472920656204224,-0.7530552744865417,7.952827453613281,5.952827453613281,7.78597354888916,5.78597354888916,-0.1668539047241211,3.698818121472336,2.353134404470732
artificial,ann,ppo_svar_direct_nonlinear,1999-10-01,1999-10-01,3.6028493163994195,1.6028493642807007,-0.543714165687561,7.78597354888916,5.78597354888916,7.439002990722656,5.439002990722656,-0.3469705581665039,2.728977488383144,1.7187745112053485
artificial,ann,ppo_svar_direct_nonlinear,2000-01-01,2000-01-01,3.609694438031022,1.609694480895996,-0.08955515921115875,7.439002990722656,5.439002990722656,8.027881622314453,6.027881622314453,0.5888786315917969,2.629804189372241,1.6397496956648585
artificial,ann,ppo_svar_direct_nonlinear,2000-04-01,2000-04-01,3.7295793700754656,1.7295793294906616,-0.6378732323646545,8.027881622314453,6.027881622314453,7.596153259277344,5.596153259277344,-0.4317283630371094,3.213524725230103,1.9836771305588174
artificial,ann,ppo_svar_direct_nonlinear,2000-07-01,2000-07-01,3.461947666061523,1.4619476795196533,0.31619560718536377,7.596153259277344,5.596153259277344,8.070752143859863,6.070752143859863,0.47459888458251953,2.2098052587792565,1.3504500896503877
artificial,ann,ppo_svar_direct_nonlinear,2000-10-01,2000-10-01,3.6590500147652216,1.6590499877929688,-0.030012087896466255,8.070752143859863,6.070752143859863,8.048491477966309,6.048491477966309,-0.022260665893554688,2.7529467784304047,1.66554950345713
artificial,ann,ppo_svar_direct_nonlinear,2001-01-01,2001-01-01,3.510361991153144,1.5103620290756226,-0.20563653111457825,8.048491477966309,6.048491477966309,7.498067855834961,5.498067855834961,-0.5504236221313477,2.3326332667178695,1.3971447059834505
artificial,ann,ppo_svar_direct_nonlinear,2001-04-01,2001-04-01,3.6706226824182693,1.670622706413269,-1.2156875133514404,7.498067855834961,5.498067855834961,7.0532331466674805,5.0532331466674805,-0.44483470916748047,3.5497160840909117,2.104862532117634
artificial,ann,ppo_svar_direct_nonlinear,2001-07-01,2001-07-01,3.468796724551938,1.468796730041504,-1.352365255355835,7.0532331466674805,5.0532331466674805,6.714632034301758,4.714632034301758,-0.33860111236572266,3.0832747974569714,1.8099957149280896
artificial,ann,ppo_svar_direct_nonlinear,2001-10-01,2001-10-01,3.592990967245074,1.5929909944534302,-2.102494955062866,6.714632034301758,4.714632034301758,6.573803424835205,4.573803424835205,-0.14082860946655273,4.749846096166559,2.7604510233220205
artificial,ann,ppo_svar_direct_nonlinear,2002-01-01,2002-01-01,3.28004905238362,1.2800490856170654,-2.1510443687438965,6.573803424835205,4.573803424835205,6.390613555908203,4.390613555908203,-0.18318986892700195,3.9553774525492487,2.2757452052758533
artificial,ann,ppo_svar_direct_nonlinear,2002-04-01,2002-04-01,2.913902743999525,0.913902759552002,-1.7048588991165161,6.390613555908203,4.390613555908203,6.3292388916015625,4.3292388916015625,-0.061374664306640625,2.2888668718070293,1.3037413224914176
artificial,ann,ppo_svar_direct_nonlinear,2002-07-01,2002-07-01,2.6677371421735074,0.6677371263504028,-1.4936894178390503,6.3292388916015625,4.3292388916015625,6.284564971923828,4.284564971923828,-0.044673919677734375,1.5616264842988117,0.8806092800440137
artificial,ann,ppo_svar_direct_nonlinear,2002-10-01,2002-10-01,2.714144374664891,0.7141443490982056,-1.821251392364502,6.284564971923828,4.284564971923828,6.273678779602051,4.273678779602051,-0.010886192321777344,2.168492319362045,1.2105958336009497
artificial,ann,ppo_svar_direct_nonlinear,2003-01-01,2003-01-01,2.960237865472459,0.9602378606796265,-2.5256545543670654,6.273678779602051,4.273678779602051,6.283662796020508,4.283662796020508,0.009984016418457031,4.11153218113852,2.2723759023366825
artificial,ann,ppo_svar_direct_nonlinear,2003-04-01,2003-04-01,2.9844093618926744,0.9844093322753906,-2.769706964492798,6.283662796020508,4.283662796020508,6.2743682861328125,4.2743682861328125,-0.009294509887695312,4.80470870684224,2.6289282837014563
artificial,ann,ppo_svar_direct_nonlinear,2003-07-01,2003-07-01,2.8689168726101983,0.8689168691635132,-2.572154998779297,6.2743682861328125,4.2743682861328125,6.2619781494140625,4.2619781494140625,-0.01239013671875,4.0630225459383755,2.200878676451668
artificial,ann,ppo_svar_direct_nonlinear,2003-10-01,2003-10-01,2.725243534481593,0.7252435088157654,-1.6857504844665527,6.2619781494140625,4.2619781494140625,6.28584098815918,4.28584098815918,0.023862838745117188,1.9469124385263092,1.0440672780422964
artificial,ann,ppo_svar_direct_nonlinear,2004-01-01,2004-01-01,2.7622549922189314,0.7622550129890442,-1.3511793613433838,6.28584098815918,4.28584098815918,6.321738243103027,4.321738243103027,0.035897254943847656,1.4940043993783356,0.793175216829283
artificial,ann,ppo_svar_direct_nonlinear,2004-04-01,2004-04-01,3.059878802897849,1.0598788261413574,-1.8169327974319458,6.321738243103027,4.321738243103027,6.361223220825195,4.361223220825195,0.03948497772216797,2.7741214276412918,1.4580684783376605
artificial,ann,ppo_svar_direct_nonlinear,2004-07-01,2004-07-01,3.5806323641434012,1.5806323289871216,-2.144768476486206,6.361223220825195,4.361223220825195,6.568874359130859,4.568874359130859,0.20765113830566406,4.802726367827697,2.4990531483818716
artificial,ann,ppo_svar_direct_nonlinear,2004-10-01,2004-10-01,3.527465528891641,1.527465581893921,-1.8793493509292603,6.568874359130859,4.568874359130859,6.59803581237793,4.59803581237793,0.029161453247070312,4.099213134325199,2.1116568377220766
artificial,ann,ppo_svar_direct_nonlinear,2005-01-01,2005-01-01,3.5125187695133273,1.5125187635421753,-1.4493523836135864,6.59803581237793,4.59803581237793,6.763697147369385,4.763697147369385,0.16566133499145508,3.3407685438014583,1.7037443388576603
artificial,ann,ppo_svar_direct_nonlinear,2005-04-01,2005-04-01,3.3528379973787024,1.3528380393981934,-0.9150313138961792,6.763697147369385,4.763697147369385,6.825057029724121,4.825057029724121,0.06135988235473633,2.2491884170642904,1.1355834929990865
artificial,ann,ppo_svar_direct_nonlinear,2005-07-01,2005-07-01,3.133839881215037,1.1338398456573486,-0.8818264007568359,6.825057029724121,4.825057029724121,6.579770565032959,4.579770565032959,-0.2452864646911621,1.680418241112227,0.8399352626259715
artificial,ann,ppo_svar_direct_nonlinear,2005-10-01,2005-10-01,3.344857461236008,1.3448574542999268,-0.8700490593910217,6.579770565032959,4.579770565032959,6.864839553833008,4.864839553833008,0.28506898880004883,2.1952606880972287,1.0862998563710606
artificial,ann,ppo_svar_direct_nonlinear,2006-01-01,2006-01-01,3.5111537451162698,1.5111536979675293,-0.6919413805007935,6.864839553833008,4.864839553833008,7.277695655822754,5.277695655822754,0.4128561019897461,2.5400219520006275,1.2443320475022608
artificial,ann,ppo_svar_direct_nonlinear,2006-04-01,2006-04-01,3.5241847826405035,1.5241848230361938,0.37425941228866577,7.277695655822754,5.277695655822754,8.364935874938965,6.364935874938965,1.087240219116211,2.511383558023589,1.217999353089863
artificial,ann,ppo_svar_direct_nonlinear,2006-07-01,2006-07-01,4.114539126884127,2.11453914642334,0.6446148753166199,8.364935874938965,6.364935874938965,9.099756240844727,7.099756240844727,0.7348203659057617,4.733036067511465,2.272526831460026
artificial,ann,ppo_svar_direct_nonlinear,2006-10-01,2006-10-01,3.5709723523270136,1.5709723234176636,0.7376142740249634,9.099756240844727,7.099756240844727,8.348280429840088,6.348280429840088,-0.7514758110046387,2.796463039019487,1.3292708584349298
