evaluation_env,policy_name,action_date,state_date,inflation,inflation_gap,output_gap,lagged_policy_rate,lagged_policy_rate_gap,policy_rate,policy_rate_gap,rate_change,loss,discounted_loss,period,revealed_loss,revealed_discounted_loss
ann,ppo_svar_direct,1997-10-01,1997-10-01,3.8664715474095095,1.866471529006958,1.406760573387146,7.26063346862793,5.26063346862793,7.344243049621582,5.344243049621582,0.0836095809936523,4.473902680215231,3.053682832010192,38,5.369013119107625,3.6646445751179595
ann,ppo_svar_direct,1998-01-01,1998-01-01,3.738675870454523,1.738675832748413,1.1971532106399536,7.344243049621582,5.344243049621582,7.31008243560791,5.31008243560791,-0.0341606140136718,3.739698251011141,2.527022742928162,39,4.31008194526711,2.9124475742472393
ann,ppo_svar_direct,1998-04-01,1998-04-01,3.5709897502510795,1.570989727973938,0.899312436580658,7.31008243560791,5.31008243560791,7.227188110351562,5.2271881103515625,-0.0828943252563476,2.8730773016099183,1.9220075749646184,40,3.3191224768282095,2.2203992002319204
ann,ppo_svar_direct,1998-07-01,1998-07-01,3.7089541853854735,1.7089542150497437,0.2620323598384857,7.227188110351562,5.2271881103515625,7.153712272644043,5.153712272644043,-0.0734758377075195,2.9553948578102305,1.957304938344129,41,3.089499520267775,2.04612004790198
ann,ppo_svar_direct,1998-10-01,1998-10-01,3.7626833868980807,1.762683391571045,0.1491320133209228,7.153712272644043,5.153712272644043,7.132579326629639,5.132579326629639,-0.0211329460144042,3.1182175777597023,2.0444881066145206,42,3.1356325768506075,2.055906411344763
ann,ppo_svar_direct,1999-01-01,1999-01-01,3.6770118676475434,1.6770118474960327,0.5475473403930664,7.132579326629639,5.132579326629639,7.161097526550293,5.161097526550293,0.0285181999206542,2.9623541104004887,1.922871839218897,43,3.093048702354463,2.0077060423697577
ann,ppo_svar_direct,1999-04-01,1999-04-01,3.874147348508377,1.8741472959518437,0.2722223103046417,7.161097526550293,5.161097526550293,7.175416469573975,5.175416469573975,0.0143189430236816,3.549501083250336,2.2809505777089405,44,3.5818855858311416,2.301761234795109
ann,ppo_svar_direct,1999-07-01,1999-07-01,3.890545475398601,1.8905454874038696,0.0148175759240984,7.175416469573975,5.175416469573975,7.148582458496094,5.148582458496094,-0.0268340110778808,3.574344026636321,2.2739457919451214,45,3.5888187043891357,2.283154371846914
ann,ppo_svar_direct,1999-10-01,1999-10-01,3.692853231255597,1.6928532123565674,0.1224806234240531,7.148582458496094,5.148582458496094,7.112157821655273,5.112157821655273,-0.0364246368408203,2.8733854255600204,1.809726042572657,46,2.9056275864796444,1.8300329174408934
ann,ppo_svar_direct,2000-01-01,2000-01-01,3.806244475681404,1.8062444925308228,0.6100290417671204,7.112157821655273,5.112157821655273,7.192864894866943,5.192864894866943,0.0807070732116699,3.4492382458642243,2.1506876393263203,47,3.721465547781778,2.320428275254629
ann,ppo_svar_direct,2000-04-01,2000-04-01,3.792525561145936,1.7925255298614502,0.08694738894701,7.192864894866943,5.192864894866943,7.1406426429748535,5.1406426429748535,-0.0522222518920898,3.217200415786692,1.9859460981005548,48,3.274589935748757,2.021372082966548
ann,ppo_svar_direct,2000-07-01,2000-07-01,3.687723705489953,1.6877237558364868,0.9122098684310912,7.1406426429748535,5.1406426429748535,7.213313102722168,5.213313102722168,0.0726704597473144,3.2650029976183403,1.9952996189710497,49,3.6881800406303533,2.2539104053302315
ann,ppo_svar_direct,2000-10-01,2000-10-01,3.798230451256552,1.7982304096221924,0.6348907351493835,7.213313102722168,5.213313102722168,7.218970775604248,5.218970775604248,0.00565767288208,3.435178929805504,2.0783040942353592,50,3.5896818511414814,2.1717792990340987
ann,ppo_svar_direct,2001-01-01,2001-01-01,3.663064767989474,1.66306471824646,0.3629720509052276,7.218970775604248,5.218970775604248,7.154853820800781,5.154853820800781,-0.0641169548034668,2.832069710334678,1.696285163735836,51,2.964520106020572,1.7756171237907221
ann,ppo_svar_direct,2001-04-01,2001-04-01,3.742506629118578,1.7425066232681274,-0.5942782163619995,7.154853820800781,5.154853820800781,7.028506278991699,5.028506278991699,-0.126347541809082,3.214509001486612,1.906095979537148,52,3.6683603720012656,2.175214613905673
ann,ppo_svar_direct,2001-07-01,2001-07-01,3.6412898340139215,1.6412898302078247,-0.5841156840324402,7.028506278991699,5.028506278991699,6.974671840667725,4.974671840667725,-0.0538344383239746,2.8647176875849385,1.6816946524792542,53,3.05287574550586,1.7921503532967586
ann,ppo_svar_direct,2001-10-01,2001-10-01,3.747395031219504,1.7473950386047363,-1.3084660768508911,6.974671840667725,4.974671840667725,6.885343551635742,4.885343551635742,-0.0893282890319824,3.910229112397367,2.2724938316322163,54,4.72322882811825,2.744981961096764
ann,ppo_svar_direct,2002-01-01,2002-01-01,3.511444915512949,1.511444926261902,-1.3675893545150757,6.885343551635742,4.885343551635742,6.798140525817871,4.798140525817871,-0.0872030258178711,3.220376523185506,1.852858929328967,55,4.086271680924423,2.3510558213160744
ann,ppo_svar_direct,2002-04-01,2002-04-01,3.281407761627572,1.2814077138900757,-1.0146950483322144,6.798140525817871,4.798140525817871,6.770445823669434,4.770445823669434,-0.0276947021484375,2.1568854494246565,1.2285645455977725,56,2.565228141745891,1.461157034166708
ann,ppo_svar_direct,2002-07-01,2002-07-01,3.118566477114078,1.1185665130615234,-0.8738500475883484,6.770445823669434,4.770445823669434,6.744258880615234,4.744258880615234,-0.0261869430541992,1.6330665725763471,0.9208947166300928,57,1.938253013345022,1.0929909346352387
ann,ppo_svar_direct,2002-10-01,2002-10-01,3.19728730261571,1.1972873210906982,-1.2632436752319336,6.744258880615234,4.744258880615234,6.700465679168701,4.700465679168701,-0.0437932014465332,2.231581005200576,1.2458161106300856,58,2.8790416360941036,1.6072714569007789
ann,ppo_svar_direct,2003-01-01,2003-01-01,3.404070016719459,1.4040700197219849,-2.015698909759521,6.700465679168701,4.700465679168701,6.630174160003662,4.630174160003662,-0.070291519165039,4.003427757451609,2.212628373556765,59,5.653089622273666,3.1243692291488037
ann,ppo_svar_direct,2003-04-01,2003-04-01,3.32770662977804,1.3277065753936768,-2.3095078468322754,6.630174160003662,4.630174160003662,6.549490451812744,4.549490451812744,-0.0806837081909179,4.430368983710276,2.4241058176790835,60,6.596462151737132,3.6092980826022254
ann,ppo_svar_direct,2003-07-01,2003-07-01,3.1081902549707165,1.1081902980804443,-2.1664481163024902,6.549490451812744,4.549490451812744,6.494165420532227,4.494165420532227,-0.0553250312805175,3.575140542983547,1.9366002766182209,61,5.427881733324168,2.9402025290547984
ann,ppo_svar_direct,2003-10-01,2003-10-01,2.864104357644091,0.8641043305397034,-1.3316428661346436,6.494165420532227,4.494165420532227,6.541666030883789,4.541666030883789,0.0475006103515625,1.63353828631949,0.8760146776125393,62,2.355512795289119,1.263186666182511
ann,ppo_svar_direct,2004-01-01,2004-01-01,2.873916119580051,0.8739161491394043,-1.0414334535598757,6.541666030883789,4.541666030883789,6.599488258361816,4.599488258361816,0.0578222274780273,1.3063555958225224,0.6935514268926066,63,1.7871749497396876,0.9488210870473259
ann,ppo_svar_direct,2004-04-01,2004-04-01,3.1936257611853907,1.193625807762146,-1.5438629388809204,6.599488258361816,4.599488258361816,6.620118618011475,4.620118618011475,0.0206303596496582,2.6165415171547792,1.3752450308813569,64,3.5348650469913587,1.8579126525755387
ann,ppo_svar_direct,2004-07-01,2004-07-01,3.739160741326036,1.7391607761383057,-1.9133331775665283,6.620118618011475,4.620118618011475,6.704543113708496,4.704543113708496,0.0844244956970214,4.855814878993778,2.526677252028757,65,6.395652836672531,3.3279173397240998
ann,ppo_svar_direct,2004-10-01,2004-10-01,3.613534429813516,1.613534450531006,-1.696780800819397,6.704543113708496,4.704543113708496,6.727862358093262,4.727862358093262,0.0233192443847656,4.04308034478092,2.08274075432328,66,5.152924358471541,2.6544626003259304
ann,ppo_svar_direct,2005-01-01,2005-01-01,3.5740849416889127,1.574084997177124,-1.3190104961395264,6.727862358093262,4.727862358093262,6.778415203094482,4.778415203094482,0.0505528450012207,3.347893481814998,1.7073779556874773,67,4.063068019320924,2.0721067758961245
ann,ppo_svar_direct,2005-04-01,2005-04-01,3.373259396062126,1.373259425163269,-0.8091775178909302,6.778415203094482,4.778415203094482,6.8161468505859375,4.8161468505859375,0.037731647491455,2.2133679442520573,1.1174982417465091,68,2.4917543539254874,1.25805161162072
ann,ppo_svar_direct,2005-07-01,2005-07-01,3.1554222484887275,1.1554222106933594,-0.8196483254432678,6.8161468505859375,4.8161468505859375,6.772873878479004,4.772873878479004,-0.0432729721069335,1.671099428676003,0.8352773750956616,69,1.964966963297257,0.9821632507845492
ann,ppo_svar_direct,2005-10-01,2005-10-01,3.420834918085261,1.4208348989486694,-0.811716616153717,6.772873878479004,4.772873878479004,6.825583934783936,4.825583934783936,0.0527100563049316,2.348491577544063,1.1621244243142796,70,2.655522831763921,1.3140553586078045
ann,ppo_svar_direct,2006-01-01,2006-01-01,3.533924410030705,1.5339244604110718,-0.6040582656860352,6.825583934783936,4.825583934783936,6.8949127197265625,4.8949127197265625,0.0693287849426269,2.53584809246137,1.2422873143130928,71,2.7711900071158038,1.3575790291324856
ann,ppo_svar_direct,2006-04-01,2006-04-01,3.476266828922198,1.476266860961914,0.3776963949203491,6.8949127197265625,4.8949127197265625,7.0341339111328125,5.0341339111328125,0.13922119140625,2.252629382155915,1.092505810771638,72,2.6944529347580946,1.3067864209675677
ann,ppo_svar_direct,2006-07-01,2006-07-01,4.017793425042091,2.0177934169769287,0.5343111753463745,7.0341339111328125,5.0341339111328125,7.210428714752197,5.210428714752197,0.1762948036193847,4.217342475423761,2.024920959010488,73,4.947464723382422,2.3754829186205595
