date,quarter,output_gap,output_gap_lag1,inflation_lag1,policy_rate_lag1,policy_rate_lag2,output_gap_lag2,inflation_lag2,policy_rate_lag3,output_gap_fitted,output_gap_resid
1990-10-01,1990Q4,-0.8759956798256141,0.6959999909145864,3.7499694075852297,8.16,8.243333333333332,1.3009332838157306,3.624671166203264,8.25,0.458390882671039,-1.334386562496653
1991-01-01,1991Q1,-1.9923089902349036,-0.8759956798256141,3.7822307480333,7.743333333333332,8.16,0.6959999909145864,3.7499694075852297,8.243333333333332,-0.9348738481492218,-1.0574351420856818
1991-04-01,1991Q2,-1.8512034027450497,-1.9923089902349036,3.683252448783936,6.426666666666667,7.743333333333332,-0.8759956798256141,3.7822307480333,8.16,-1.9892128621175795,0.13800945937252984
1991-07-01,1991Q3,-1.9780386507260768,-1.8512034027450497,3.2999924340996856,5.863333333333333,6.426666666666667,-1.9923089902349036,3.683252448783936,7.743333333333332,-1.9723725640007774,-0.005666086725299335
1991-10-01,1991Q4,-2.26810453849442,-1.9780386507260768,3.2269649308228843,5.6433333333333335,5.863333333333333,-1.8512034027450497,3.2999924340996856,6.426666666666667,-1.8446069576500959,-0.423497580844324
1992-01-01,1992Q1,-1.722109443034192,-2.26810453849442,3.0760053076189564,4.816666666666666,5.6433333333333335,-1.9780386507260768,3.2269649308228843,5.863333333333333,-2.004815048601184,0.2827056055669923
1992-04-01,1992Q2,-1.2942701245627577,-1.722109443034192,2.472358104015981,4.023333333333333,4.816666666666666,-2.26810453849442,3.0760053076189564,5.6433333333333335,-1.636626573162552,0.3423564485997943
1992-07-01,1992Q3,-0.9724340760238092,-1.2942701245627577,2.3410952457532552,3.77,4.023333333333333,-1.722109443034192,2.472358104015981,4.816666666666666,-1.2638797451618264,0.2914456691380173
1992-10-01,1992Q4,-0.6040270167401829,-0.9724340760238092,2.0497956583612087,3.2566666666666664,3.77,-1.2942701245627577,2.3410952457532552,4.023333333333333,-0.8177521185532908,0.2137251018131079
1993-01-01,1993Q1,-1.1213770012311386,-0.6040270167401829,2.1437835788944426,3.036666666666666,3.2566666666666664,-0.9724340760238092,2.0497956583612087,3.77,-0.574342436628824,-0.5470345646023146
1993-04-01,1993Q2,-1.2306532369386505,-1.1213770012311386,2.332583159003754,3.04,3.036666666666666,-0.6040270167401829,2.1437835788944426,3.2566666666666664,-0.9059872263099028,-0.32466601062874767
1993-07-01,1993Q3,-1.4491947210268918,-1.2306532369386505,2.3266052377793223,3.0,3.04,-1.1213770012311386,2.332583159003754,3.036666666666666,-0.8868546039920354,-0.5623401170348564
1993-10-01,1993Q4,-0.800228526551372,-1.4491947210268918,2.430402268738252,3.06,3.0,-1.2306532369386505,2.3266052377793223,3.04,-1.0881055256517143,0.28787699910034226
1994-01-01,1994Q1,-0.5436512492941858,-0.800228526551372,2.2889657347341164,2.99,3.06,-1.4491947210268918,2.430402268738252,3.0,-0.4625055911860829,-0.08114565810810292
1994-04-01,1994Q2,0.0939519917523057,-0.5436512492941858,2.207183386942191,3.2133333333333334,2.99,-0.800228526551372,2.2889657347341164,3.06,-0.29495657088744853,0.38890856263975426
1994-07-01,1994Q3,-0.0379532775097501,0.0939519917523057,2.0948597460123786,3.94,3.2133333333333334,-0.5436512492941858,2.207183386942191,2.99,0.21877729678666302,-0.2567305742964131
1994-10-01,1994Q4,0.3804709083009783,-0.0379532775097501,2.07501834986683,4.486666666666667,3.94,0.0939519917523057,2.0948597460123786,3.2133333333333334,0.3704492652075071,0.0100216430934712
1995-01-01,1995Q1,0.0107782605768491,0.3804709083009783,2.071448587960933,5.166666666666667,4.486666666666667,-0.0379532775097501,2.07501834986683,3.94,0.3889098306578631,-0.378131570081014
1995-04-01,1995Q2,-0.4203351640649444,0.0107782605768491,2.1354423618696217,5.81,5.166666666666667,0.3804709083009783,2.071448587960933,4.486666666666667,0.18153039270486038,-0.6018655567698048
1995-07-01,1995Q3,-0.3032264553409547,-0.4203351640649444,2.132780470482132,6.02,5.81,0.0107782605768491,2.1354423618696217,5.166666666666667,-0.2728054050458757,-0.030421050295079022
1995-10-01,1995Q4,-0.3695106893511379,-0.3032264553409547,2.0522111099846363,5.796666666666667,6.02,-0.4203351640649444,2.132780470482132,5.81,-0.3355661804425526,-0.0339445089085853
1996-01-01,1996Q1,-0.3765611426693738,-0.3695106893511379,1.9923364899251617,5.72,5.796666666666667,-0.3032264553409547,2.0522111099846363,6.02,-0.5212643262012187,0.14470318353184486
1996-04-01,1996Q2,0.4867228783124844,-0.3765611426693738,1.930029581236603,5.363333333333333,5.72,-0.3695106893511379,1.9923364899251617,5.796666666666667,-0.493388286435275,0.9801111647477594
1996-07-01,1996Q3,0.5430913594263842,0.4867228783124844,1.8650530586558745,5.243333333333333,5.363333333333333,-0.3765611426693738,1.930029581236603,5.72,0.18638764035272848,0.3567037190736557
1996-10-01,1996Q4,0.6975353551768038,0.5430913594263842,1.7008041994745149,5.306666666666667,5.243333333333333,0.4867228783124844,1.8650530586558745,5.363333333333333,0.616511401006137,0.08102395417066677
1997-01-01,1997Q1,0.4251214575061723,0.6975353551768038,1.7524963723806408,5.28,5.306666666666667,0.5430913594263842,1.7008041994745149,5.243333333333333,0.6722528792259672,-0.2471314217197949
1997-04-01,1997Q2,1.1332689922504358,0.4251214575061723,1.868857947961988,5.276666666666666,5.28,0.6975353551768038,1.7524963723806408,5.306666666666667,0.4672197712596724,0.6660492209907634
1997-07-01,1997Q3,1.400055588244875,1.1332689922504358,1.6532193716764176,5.523333333333333,5.276666666666666,0.4251214575061723,1.868857947961988,5.28,0.9817195987207727,0.41833598952410234
1997-10-01,1997Q4,1.2549509023953576,1.400055588244875,1.7616546785962583,5.533333333333334,5.523333333333333,1.1332689922504358,1.6532193716764176,5.276666666666666,1.2614866325215954,-0.006535730126237871
1998-01-01,1998Q1,1.2397113531875448,1.2549509023953576,1.5617409460253917,5.506666666666667,5.533333333333334,1.400055588244875,1.7616546785962583,5.523333333333333,1.4036907452918548,-0.16397939210431
1998-04-01,1998Q2,1.1285864300141668,1.2397113531875448,1.1079288371958818,5.52,5.506666666666667,1.2549509023953576,1.5617409460253917,5.533333333333334,1.6147827658951284,-0.48619633588096156
1998-07-01,1998Q3,1.339770052050504,1.1285864300141668,1.1457777319093587,5.5,5.52,1.2397113531875448,1.1079288371958818,5.506666666666667,1.3376683367816875,0.0021017152688165286
1998-10-01,1998Q4,1.8855023784384528,1.339770052050504,1.1322847299959804,5.533333333333334,5.5,1.1285864300141668,1.1457777319093587,5.52,1.4358914857542515,0.4496108926842013
1999-01-01,1999Q1,1.7586825777589965,1.8855023784384528,1.0817241648669371,4.86,5.533333333333334,1.339770052050504,1.1322847299959804,5.5,1.974665827750081,-0.21598324999108454
1999-04-01,1999Q2,1.529802432444427,1.7586825777589965,1.2642897410799492,4.733333333333333,4.86,1.8855023784384528,1.0817241648669371,5.533333333333334,1.7402188368601526,-0.2104164044157255
1999-07-01,1999Q3,1.790403759411241,1.529802432444427,1.4051952908000764,4.746666666666667,4.733333333333333,1.7586825777589965,1.2642897410799492,4.86,1.6984465225436927,0.09195723686754831
1999-10-01,1999Q4,2.3597338883396546,1.790403759411241,1.3361338359626274,5.093333333333334,4.746666666666667,1.529802432444427,1.4051952908000764,4.733333333333333,1.879636024594255,0.48009786374539964
2000-01-01,2000Q1,1.667956426817696,2.3597338883396546,1.6079418295450232,5.306666666666667,5.093333333333334,1.790403759411241,1.3361338359626274,4.746666666666667,2.10848274221594,-0.4405263153982437
2000-04-01,2000Q2,2.4516394247521944,1.667956426817696,1.946080064002853,5.676666666666667,5.306666666666667,2.3597338883396546,1.6079418295450232,5.093333333333334,1.6349058968913102,0.8167335278608843
2000-07-01,2000Q3,1.5776295997319778,2.4516394247521944,2.190107681262532,6.273333333333333,5.676666666666667,1.667956426817696,1.946080064002853,5.306666666666667,1.7530748624482324,-0.1754452627162546
2000-10-01,2000Q4,1.2469099833991135,1.5776295997319778,2.419920505315609,6.52,6.273333333333333,2.4516394247521944,2.190107681262532,5.676666666666667,1.4357875545364294,-0.18887757113731585
2001-01-01,2001Q1,0.0430542994006799,1.2469099833991135,2.4040017308323947,6.473333333333334,6.52,1.5776295997319778,2.419920505315609,6.273333333333333,0.9527225710202349,-0.909668271619555
2001-04-01,2001Q2,-0.1509638280277059,0.0430542994006799,2.400504592458663,5.593333333333334,6.473333333333334,1.2469099833991135,2.4040017308323947,6.52,-0.1420473492217741,-0.008916478805931799
2001-07-01,2001Q3,-1.3063726889850358,-0.1509638280277059,2.379085679739568,4.326666666666667,5.593333333333334,0.0430542994006799,2.400504592458663,6.473333333333334,-0.5283699215106462,-0.7780027674743896
2001-10-01,2001Q4,-1.7304796834013203,-1.3063726889850358,2.1885322512144256,3.4966666666666666,4.326666666666667,-0.1509638280277059,2.379085679739568,5.593333333333334,-1.5322753377277383,-0.19820434567358203
2002-01-01,2002Q1,-1.5478301217443755,-1.7304796834013203,1.9645670954720809,2.1333333333333333,3.4966666666666666,-1.3063726889850358,2.1885322512144256,4.326666666666667,-1.714486417694583,0.1666562959502076
2002-04-01,2002Q2,-1.5524042287355044,-1.5478301217443755,1.6191258588266422,1.7333333333333334,2.1333333333333333,-1.7304796834013203,1.9645670954720809,3.4966666666666666,-1.569326887354143,0.01692265861863862
2002-07-01,2002Q3,-1.7407035942341054,-1.5524042287355044,1.3680799113420683,1.75,1.7333333333333334,-1.5478301217443755,1.6191258588266422,2.1333333333333333,-1.2668399555751713,-0.4738636386589341
2002-10-01,2002Q4,-2.198352124196745,-1.7407035942341054,1.4540094251135116,1.74,1.75,-1.5524042287355044,1.3680799113420683,1.7333333333333334,-1.3513062540652496,-0.8470458701314956
2003-01-01,2003Q1,-2.253190250269732,-2.198352124196745,1.71927803816061,1.4433333333333334,1.74,-1.7407035942341054,1.4540094251135116,1.75,-1.7662880698748733,-0.4869021803948588
2003-04-01,2003Q2,-1.957765139387746,-2.253190250269732,1.8932758164861063,1.25,1.4433333333333334,-2.198352124196745,1.71927803816061,1.74,-1.8196182182237584,-0.13814692116398763
2003-07-01,2003Q3,-0.8991340270190662,-1.957765139387746,1.8958724392106772,1.2466666666666668,1.25,-2.253190250269732,1.8932758164861063,1.4433333333333334,-1.4636529210901215,0.5645188940710553
2003-10-01,2003Q4,-0.3498269521365671,-0.8991340270190662,1.9880381747660716,1.0166666666666666,1.2466666666666668,-1.957765139387746,1.8958724392106772,1.25,-0.48054363158915203,0.13071667945258492
2004-01-01,2004Q1,-0.4055709989387424,-0.3498269521365671,2.01661704884577,0.9966666666666668,1.0166666666666666,-0.8991340270190662,1.9880381747660716,1.2466666666666668,0.18845212960322844,-0.5940231285419708
2004-04-01,2004Q2,-0.2628823518874057,-0.4055709989387424,2.239932256142652,1.0033333333333332,0.9966666666666668,-0.3498269521365671,2.01661704884577,1.0166666666666666,0.23569689911364877,-0.4985792510010545
2004-07-01,2004Q3,0.0401517143853169,-0.2628823518874057,2.6924752830599807,1.01,1.0033333333333332,-0.4055709989387424,2.239932256142652,0.9966666666666668,0.03736436934240028,0.0027873450429166183
2004-10-01,2004Q4,0.4061641903795987,0.0401517143853169,2.754290904155709,1.4333333333333331,1.01,-0.2628823518874057,2.6924752830599807,1.0033333333333332,0.3393781471323345,0.06678604324726423
2005-01-01,2005Q1,0.8710006320400865,0.4061641903795987,2.919396556381937,1.95,1.4333333333333331,0.0401517143853169,2.754290904155709,1.01,0.5827650281793415,0.288235603860745
2005-04-01,2005Q2,0.7414110598988444,0.8710006320400865,3.0045529922428926,2.47,1.95,0.4061641903795987,2.919396556381937,1.4333333333333331,0.9097601465644745,-0.1683490866656301
2005-07-01,2005Q3,0.9101541884476204,0.7414110598988444,2.918035295268062,2.9433333333333334,2.47,0.8710006320400865,3.0045529922428926,1.95,1.0072633414662326,-0.09710915301861223
2005-10-01,2005Q4,0.8642366974097371,0.9101541884476204,3.193383951284723,3.4599999999999995,2.9433333333333334,0.7414110598988444,2.918035295268062,2.47,0.6963823017705904,0.16785439563914673
2006-01-01,2006Q1,1.616482354282489,0.8642366974097371,3.2394685469278706,3.98,3.4599999999999995,0.9101541884476204,3.193383951284723,2.9433333333333334,0.7229121421675846,0.8935702121149045
2006-04-01,2006Q2,1.3075173930252149,1.616482354282489,3.1492702384293025,4.456666666666667,3.98,0.8642366974097371,3.2394685469278706,3.4599999999999995,1.1494029969720885,0.15811439605312638
2006-07-01,2006Q3,0.9175328045810004,1.3075173930252149,3.301317736268672,4.906666666666667,4.456666666666667,1.616482354282489,3.1492702384293025,3.98,0.9630187789064106,-0.04548597432541024
2006-10-01,2006Q4,1.2601615616674169,0.9175328045810004,3.089819387756432,5.246666666666667,4.906666666666667,1.3075173930252149,3.301317736268672,4.456666666666667,0.792786990554661,0.46737457111275593
2007-01-01,2007Q1,1.047552809658292,1.2601615616674169,2.628317732813823,5.246666666666667,5.246666666666667,0.9175328045810004,3.089819387756432,4.906666666666667,1.0986137649985712,-0.05106095534027921
2007-04-01,2007Q2,1.1448535909197588,1.047552809658292,2.868650821896157,5.256666666666667,5.246666666666667,1.2601615616674169,2.628317732813823,5.246666666666667,0.5950984844996929,0.5497551064200659
