equation,target,feature_set,stage_name,stage_priority,nobs,regressor_count,regressors,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,seed,train_mse,val_mse,test_mse,full_sample_mse,residual_std_full_sample,n_iter
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,lbfgs,0.0001,0.001,0,0.005558526671285856,0.13852584384158353,0.09757030058029496,0.04017069452964074,0.2017099819900681,484
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",tanh,lbfgs,0.0001,0.001,1,0.007709976255656825,0.1661275740806171,0.13691573245139435,0.051959723028071864,0.22069764802192993,2189
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",relu,lbfgs,0.001,0.001,1,0.01910299305347618,0.18441397441487617,0.16683497411746817,0.06726344881122878,0.25390519987812676,301
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,lbfgs,0.001,0.001,0,0.0055565763252195905,0.20811677925105557,0.4856622520257297,0.11058209611388825,0.31688523225624227,369
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,adam,0.0001,0.001,0,0.07652778535367917,0.2106750956292597,0.08974577954007311,0.0991993706555214,0.2948793242544601,810
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,adam,0.001,0.001,0,0.07652698176052151,0.21122176995864003,0.08964443974331278,0.09926732732681533,0.2949717426802581,810
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",tanh,lbfgs,0.001,0.001,0,0.0051353234363306095,0.22622698295521762,0.33611521988788323,0.09006940897024442,0.3018849299007718,1112
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,adam,0.001,0.001,1,0.0906390697021532,0.2770348820098682,1.5362587816746283,0.3417183811298748,0.5229629680544562,754
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,adam,0.0001,0.001,1,0.0906457738113235,0.27707729781772633,1.53639268802171,0.34175014892159883,0.5229876623433974,754
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,adam,0.0001,0.001,0,0.13306930195576255,0.2902705188721888,0.0704789452564369,0.14762481891223958,0.3592300121575276,1159
