date,quarter,inflation,output_gap,output_gap_lag1,output_gap_lag2,inflation_lag1,inflation_lag2,policy_rate_lag1,output_gap_lag3,inflation_lag3,policy_rate_lag2,inflation_fitted,inflation_resid
1993-01-01,1993Q1,2.332583159003754,-1.1213770012311386,-0.6040270167401829,-0.9724340760238092,2.1437835788944426,2.0497956583612087,3.036666666666666,-1.2942701245627577,2.3410952457532552,3.2566666666666664,2.267013196161057,0.06556996284269667
1993-04-01,1993Q2,2.3266052377793223,-1.2306532369386505,-1.1213770012311386,-0.6040270167401829,2.332583159003754,2.1437835788944426,3.04,-0.9724340760238092,2.0497956583612087,3.036666666666666,2.2933293223442845,0.03327591543503772
1993-07-01,1993Q3,2.430402268738252,-1.4491947210268918,-1.2306532369386505,-1.1213770012311386,2.3266052377793223,2.332583159003754,3.0,-0.6040270167401829,2.1437835788944426,3.04,2.370019674877165,0.06038259386108713
1993-10-01,1993Q4,2.2889657347341164,-0.800228526551372,-1.4491947210268918,-1.2306532369386505,2.430402268738252,2.3266052377793223,3.06,-1.1213770012311386,2.332583159003754,3.0,2.274258808464944,0.01470692626917236
1994-01-01,1994Q1,2.207183386942191,-0.5436512492941858,-0.800228526551372,-1.4491947210268918,2.2889657347341164,2.430402268738252,2.99,-1.2306532369386505,2.3266052377793223,3.06,2.3169226692140588,-0.10973928227186791
1994-04-01,1994Q2,2.0948597460123786,0.0939519917523057,-0.5436512492941858,-0.800228526551372,2.207183386942191,2.2889657347341164,3.2133333333333334,-1.4491947210268918,2.430402268738252,2.99,2.1515172060306282,-0.05665746001824967
1994-07-01,1994Q3,2.07501834986683,-0.0379532775097501,0.0939519917523057,-0.5436512492941858,2.0948597460123786,2.207183386942191,3.94,-0.800228526551372,2.2889657347341164,3.2133333333333334,2.1270446253656052,-0.05202627549877503
1994-10-01,1994Q4,2.071448587960933,0.3804709083009783,-0.0379532775097501,0.0939519917523057,2.07501834986683,2.0948597460123786,4.486666666666667,-0.5436512492941858,2.207183386942191,3.94,2.103218215262576,-0.03176962730164279
1995-01-01,1995Q1,2.1354423618696217,0.0107782605768491,0.3804709083009783,-0.0379532775097501,2.071448587960933,2.07501834986683,5.166666666666667,0.0939519917523057,2.0948597460123786,4.486666666666667,2.0845605704508783,0.05088179141874338
1995-04-01,1995Q2,2.132780470482132,-0.4203351640649444,0.0107782605768491,0.3804709083009783,2.1354423618696217,2.071448587960933,5.81,-0.0379532775097501,2.07501834986683,5.166666666666667,2.176273785605936,-0.043493315123804166
1995-07-01,1995Q3,2.0522111099846363,-0.3032264553409547,-0.4203351640649444,0.0107782605768491,2.132780470482132,2.1354423618696217,6.02,0.3804709083009783,2.071448587960933,5.81,2.0647472047277313,-0.012536094743095028
1995-10-01,1995Q4,1.9923364899251617,-0.3695106893511379,-0.3032264553409547,-0.4203351640649444,2.0522111099846363,2.132780470482132,5.796666666666667,0.0107782605768491,2.1354423618696217,6.02,1.9280434300214546,0.06429305990370704
1996-01-01,1996Q1,1.930029581236603,-0.3765611426693738,-0.3695106893511379,-0.3032264553409547,1.9923364899251617,2.0522111099846363,5.72,-0.4203351640649444,2.132780470482132,5.796666666666667,1.931599523762145,-0.0015699425255419897
1996-04-01,1996Q2,1.8650530586558745,0.4867228783124844,-0.3765611426693738,-0.3695106893511379,1.930029581236603,1.9923364899251617,5.363333333333333,-0.3032264553409547,2.0522111099846363,5.72,1.8965309824220706,-0.03147792376619618
1996-07-01,1996Q3,1.7008041994745149,0.5430913594263842,0.4867228783124844,-0.3765611426693738,1.8650530586558745,1.930029581236603,5.243333333333333,-0.3695106893511379,1.9923364899251617,5.363333333333333,1.8034678785104976,-0.10266367903598272
1996-10-01,1996Q4,1.7524963723806408,0.6975353551768038,0.5430913594263842,0.4867228783124844,1.7008041994745149,1.8650530586558745,5.306666666666667,-0.3765611426693738,1.930029581236603,5.243333333333333,1.559526975092537,0.19296939728810392
1997-01-01,1997Q1,1.868857947961988,0.4251214575061723,0.6975353551768038,0.5430913594263842,1.7524963723806408,1.7008041994745149,5.28,0.4867228783124844,1.8650530586558745,5.306666666666667,1.647695454049667,0.2211624939123209
1997-04-01,1997Q2,1.6532193716764176,1.1332689922504358,0.4251214575061723,0.6975353551768038,1.868857947961988,1.7524963723806408,5.276666666666666,0.5430913594263842,1.7008041994745149,5.28,1.8435718035466693,-0.19035243187025164
1997-07-01,1997Q3,1.7616546785962583,1.400055588244875,1.1332689922504358,0.4251214575061723,1.6532193716764176,1.868857947961988,5.523333333333333,0.6975353551768038,1.7524963723806408,5.276666666666666,1.6164861389256187,0.1451685396706397
1997-10-01,1997Q4,1.5617409460253917,1.2549509023953576,1.400055588244875,1.1332689922504358,1.7616546785962583,1.6532193716764176,5.533333333333334,0.4251214575061723,1.868857947961988,5.523333333333333,1.7072969060358643,-0.14555596001047255
1998-01-01,1998Q1,1.1079288371958818,1.2397113531875448,1.2549509023953576,1.400055588244875,1.5617409460253917,1.7616546785962583,5.506666666666667,1.1332689922504358,1.6532193716764176,5.533333333333334,1.3249137568803986,-0.21698491968451683
1998-04-01,1998Q2,1.1457777319093587,1.1285864300141668,1.2397113531875448,1.2549509023953576,1.1079288371958818,1.5617409460253917,5.52,1.400055588244875,1.7616546785962583,5.506666666666667,1.0802532637704787,0.06552446813888002
1998-07-01,1998Q3,1.1322847299959804,1.339770052050504,1.1285864300141668,1.2397113531875448,1.1457777319093587,1.1079288371958818,5.5,1.2549509023953576,1.5617409460253917,5.52,1.1475090034307347,-0.015224273434754299
1998-10-01,1998Q4,1.0817241648669371,1.8855023784384528,1.339770052050504,1.1285864300141668,1.1322847299959804,1.1457777319093587,5.533333333333334,1.2397113531875448,1.1079288371958818,5.5,1.2246085798073407,-0.1428844149404036
