case_id,case_group,evaluation_type,loss_function,environment,policy_name,rule_family,source_env,training_env,policy_parameterization,algo,source_file,result_metric,result_value,secondary_metric,secondary_value,comparison_metric,comparison_value,solver_status
case_0037,empirical_unified,historical_shock,artificial,ann,sac_svar_revealed_direct,svar_revealed_direct,svar,svar,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,172.5985579204927,mean_period_loss,3.143500672982876,improvement_vs_actual_pct,-2.5906426593765723,
case_0038,empirical_unified,historical_shock,artificial,ann,td3_svar_revealed_direct,svar_revealed_direct,svar,svar,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,364.3437576604837,mean_period_loss,7.301663524776044,improvement_vs_actual_pct,-116.561833990174,
case_0039,empirical_unified,historical_shock,artificial,ann,riccati_reference,theory_reference,benchmark,benchmark,fixed_rule,,outputs\phase10\counterfactual_eval\ann_historical_summary.csv,total_discounted_loss,157.01113712490027,mean_period_loss,2.8811006330799445,improvement_vs_actual_pct,6.674345044394353,
case_0040,empirical_unified,historical_shock,artificial,svar,ppo_ann_direct,ann_direct,ann,ann,linear_policy,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,150.18957947330867,mean_period_loss,2.4701488323407426,improvement_vs_actual_pct,-70.8330585146641,
case_0041,empirical_unified,historical_shock,artificial,svar,ppo_ann_direct_nonlinear,ann_direct,ann,ann,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,87.33608756001983,mean_period_loss,1.448176777316586,improvement_vs_actual_pct,0.6596129444904442,
case_0042,empirical_unified,historical_shock,artificial,svar,sac_ann_direct,ann_direct,ann,ann,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,407.73260981763366,mean_period_loss,7.766662947069814,improvement_vs_actual_pct,-363.775243499442,
case_0043,empirical_unified,historical_shock,artificial,svar,td3_ann_direct,ann_direct,ann,ann,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,270.1911419116569,mean_period_loss,4.904451115287598,improvement_vs_actual_pct,-207.3287728629736,
case_0044,empirical_unified,historical_shock,artificial,svar,ppo_ann_revealed_direct,ann_revealed_direct,ann,ann,linear_policy,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,195.0853411382435,mean_period_loss,3.766348132032233,improvement_vs_actual_pct,-121.8997191076466,
case_0045,empirical_unified,historical_shock,artificial,svar,ppo_ann_revealed_direct_nonlinear,ann_revealed_direct,ann,ann,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,313.5721306556375,mean_period_loss,6.467674068514514,improvement_vs_actual_pct,-256.67245579033323,
case_0046,empirical_unified,historical_shock,artificial,svar,sac_ann_revealed_direct,ann_revealed_direct,ann,ann,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,110.78835860905636,mean_period_loss,1.9948928144590736,improvement_vs_actual_pct,-26.01616047781835,
case_0047,empirical_unified,historical_shock,artificial,svar,td3_ann_revealed_direct,ann_revealed_direct,ann,ann,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,140.98928302076118,mean_period_loss,2.437365799524593,improvement_vs_actual_pct,-60.36818613309103,
case_0048,empirical_unified,historical_shock,artificial,svar,linear_policy_search_transfer,benchmark_transfer,benchmark,benchmark,fixed_rule,,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,120.57535670679717,mean_period_loss,2.108170374652813,improvement_vs_actual_pct,-37.14837633844928,
case_0049,empirical_unified,historical_shock,artificial,svar,ppo_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,171.8753253222245,mean_period_loss,3.0280170567027103,improvement_vs_actual_pct,-95.49949877325976,
case_0050,empirical_unified,historical_shock,artificial,svar,sac_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,sac,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,114.45485212077917,mean_period_loss,1.9922356229376088,improvement_vs_actual_pct,-30.186611602512333,
case_0051,empirical_unified,historical_shock,artificial,svar,td3_benchmark_transfer,benchmark_transfer,benchmark,benchmark,linear_surrogate,td3,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,129.55514498332735,mean_period_loss,2.253664513659389,improvement_vs_actual_pct,-47.36243181069598,
case_0052,empirical_unified,historical_shock,artificial,svar,empirical_taylor_rule,empirical_rule,svar,svar,fixed_rule,,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,94.50184249924573,mean_period_loss,1.6470916651258058,improvement_vs_actual_pct,-7.491071258284558,
case_0053,empirical_unified,historical_shock,artificial,svar,historical_actual_policy,historical_actual,historical,historical,fixed_rule,,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,87.91599282899719,mean_period_loss,1.547269812936273,improvement_vs_actual_pct,0.0,
case_0054,empirical_unified,historical_shock,artificial,svar,ppo_svar_direct,svar_direct,svar,svar,linear_policy,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,100.99788180826545,mean_period_loss,1.7771733828297014,improvement_vs_actual_pct,-14.879987768224897,
case_0055,empirical_unified,historical_shock,artificial,svar,ppo_svar_direct_nonlinear,svar_direct,svar,svar,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,90.798474691546,mean_period_loss,1.5630749417066754,improvement_vs_actual_pct,-3.278677484943434,
case_0056,empirical_unified,historical_shock,artificial,svar,sac_svar_direct,svar_direct,svar,svar,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,92.10155185694455,mean_period_loss,1.5564301863026826,improvement_vs_actual_pct,-4.76086192427875,
case_0057,empirical_unified,historical_shock,artificial,svar,td3_svar_direct,svar_direct,svar,svar,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,103.64393280556784,mean_period_loss,1.8112053720800836,improvement_vs_actual_pct,-17.889737089317308,
case_0058,empirical_unified,historical_shock,artificial,svar,ppo_svar_revealed_direct,svar_revealed_direct,svar,svar,linear_policy,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,293.956412571653,mean_period_loss,6.074405303053172,improvement_vs_actual_pct,-234.36056752884423,
case_0059,empirical_unified,historical_shock,artificial,svar,ppo_svar_revealed_direct_nonlinear,svar_revealed_direct,svar,svar,nonlinear_policy,ppo,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,293.7124284911367,mean_period_loss,6.035144909620192,improvement_vs_actual_pct,-234.08304796424025,
case_0060,empirical_unified,historical_shock,artificial,svar,sac_svar_revealed_direct,svar_revealed_direct,svar,svar,standard_nonlinear,sac,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,105.45070201428906,mean_period_loss,1.8813040020839924,improvement_vs_actual_pct,-19.94484577953652,
case_0061,empirical_unified,historical_shock,artificial,svar,td3_svar_revealed_direct,svar_revealed_direct,svar,svar,standard_nonlinear,td3,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,195.79988544419172,mean_period_loss,3.5865254019689723,improvement_vs_actual_pct,-122.71247715422646,
case_0062,empirical_unified,historical_shock,artificial,svar,riccati_reference,theory_reference,benchmark,benchmark,fixed_rule,,outputs\phase10\counterfactual_eval\svar_historical_summary.csv,total_discounted_loss,121.072114876588,mean_period_loss,2.108776065132121,improvement_vs_actual_pct,-37.7134136585158,
case_0063,empirical_unified,historical_shock,revealed,ann,ppo_ann_direct,ann_direct,ann,ann,linear_policy,ppo,outputs\phase10\revealed_welfare\revealed_historical_summary.csv,total_discounted_revealed_loss,376.38234812084505,mean_period_revealed_loss,6.476421037604082,,,
