date,gdpdef,real_gdp,potential_gdp,policy_rate,inflation,output_gap,inflation_gap,policy_rate_gap,quarter
2001-01-01,73.822,14183.12,14177.014871405332,5.593333333333334,2.400504592458663,0.04305429940067995,0.4005045924586632,3.5933333333333337,2001Q1
2001-04-01,74.266,14271.694,14293.255366424008,4.326666666666667,2.3790856797395676,-0.15096382802770592,0.37908567973956764,2.326666666666667,2001Q2
2001-07-01,74.558,14214.516,14401.428785467464,3.4966666666666666,2.1885322512144256,-1.3063726889850358,0.18853225121442563,1.4966666666666666,2001Q3
2001-10-01,74.792,14253.574,14502.3757251484,2.1333333333333333,1.9645670954720806,-1.7304796834013203,-0.03543290452791936,0.1333333333333333,2001Q4
2002-01-01,75.027,14372.785,14596.981913208332,1.7333333333333334,1.6191258588266422,-1.5478301217443757,-0.3808741411733578,-0.2666666666666666,2002Q1
2002-04-01,75.289,14460.848,14687.090370319847,1.75,1.3680799113420683,-1.5524042287355044,-0.6319200886579317,-0.25,2002Q2
2002-07-01,75.65,14519.633,14774.58935298112,1.74,1.4540094251135116,-1.7407035942341054,-0.5459905748864884,-0.26,2002Q3
2002-10-01,76.089,14537.58,14860.705908247191,1.4433333333333334,1.7192780381606099,-2.198352124196745,-0.28072196183939013,-0.5566666666666666,2002Q4
2003-01-01,76.461,14614.141,14947.163122044543,1.25,1.8932758164861063,-2.253190250269732,-0.10672418351389368,-0.75,2003Q1
2003-04-01,76.73,14743.567,15035.055434315627,1.2466666666666668,1.8958724392106774,-1.957765139387746,-0.10412756078932262,-0.7533333333333332,2003Q2
2003-07-01,77.169,14988.782,15124.158937215894,1.0166666666666666,1.9880381747660714,-0.8991340270190662,-0.011961825233928636,-0.9833333333333334,2003Q3
2003-10-01,77.639,15162.76,15215.896309544176,0.9966666666666667,2.01661704884577,-0.3498269521365671,0.0166170488457702,-1.0033333333333334,2003Q4
2004-01-01,78.193,15248.68,15310.64980463486,1.0033333333333332,2.2399322561426516,-0.4055709989387424,0.23993225614265157,-0.9966666666666668,2004Q1
2004-04-01,78.824,15366.85,15407.299881195731,1.01,2.6924752830599807,-0.2628823518874057,0.6924752830599807,-0.99,2004Q2
2004-07-01,79.324,15512.619,15506.39166779942,1.4333333333333333,2.7542909041557095,0.04015171438531695,0.7542909041557095,-0.5666666666666667,2004Q3
2004-10-01,79.939,15670.88,15607.359583040596,1.95,2.919396556381937,0.4061641903795987,0.9193965563819368,-0.050000000000000044,2004Q4
2005-01-01,80.578,15844.727,15707.318610353295,2.47,3.0045529922428926,0.8710006320400865,1.0045529922428926,0.4700000000000002,2005Q1
2005-04-01,81.158,15922.782,15805.16528365269,2.9433333333333334,2.918035295268062,0.7414110598988444,0.9180352952680622,0.9433333333333334,2005Q2
2005-07-01,81.898,16047.587,15902.191878355608,3.4599999999999995,3.193383951284723,0.9101541884476205,1.1933839512847229,1.4599999999999995,2005Q3
2005-10-01,82.571,16136.734,15997.875321123143,3.98,3.2394685469278706,0.8642366974097371,1.2394685469278706,1.98,2005Q4
2006-01-01,83.156,16353.835,16091.603317517096,4.456666666666667,3.1492702384293025,1.616482354282489,1.1492702384293025,2.456666666666667,2006Q1
2006-04-01,83.882,16396.151,16183.163929732862,4.906666666666667,3.301317736268672,1.3075173930252149,1.3013177362686719,2.906666666666667,2006Q2
2006-07-01,84.468,16420.738,16270.761436348215,5.246666666666667,3.0898193877564317,0.9175328045810005,1.0898193877564317,3.246666666666667,2006Q3
2006-10-01,84.77,16561.866,16354.469242438125,5.246666666666667,2.628317732813823,1.2601615616674167,0.628317732813823,3.246666666666667,2006Q4
2007-01-01,85.576,16611.69,16438.582056258954,5.256666666666667,2.868650821896157,1.047552809658292,0.868650821896157,3.256666666666667,2007Q1
2007-04-01,86.171,16713.314,16523.062155053634,5.25,2.6922644815723373,1.1448535909197588,0.6922644815723373,3.25,2007Q2
