date,gdpdef,real_gdp,potential_gdp,policy_rate,inflation,output_gap,inflation_gap,policy_rate_gap,quarter
1962-07-01,15.865,3838.776,3837.88919933192,2.8466666666666662,1.1984544697773991,0.023103799605550535,-0.8015455302226009,0.8466666666666662,1962Q3
1962-10-01,15.898,3851.421,3878.403538720957,2.9233333333333333,1.0941512564416556,-0.6981438758636216,-0.9058487435583444,0.9233333333333333,1962Q4
1963-01-01,15.967,3893.482,3919.734297545736,2.966666666666667,1.013447757478092,-0.6719997332334415,-0.986552242521908,0.9666666666666668,1963Q1
1963-04-01,15.995,3937.183,3961.875661976665,2.9633333333333334,1.0242965101216583,-0.6252072168685174,-0.9757034898783417,0.9633333333333334,1963Q2
1963-07-01,16.016,4023.755,4004.6173115885376,3.33,0.9472797537705802,0.47675229592023527,-1.0527202462294198,1.33,1963Q3
1963-10-01,16.146,4050.147,4048.0588293243577,3.453333333333333,1.5479025821902859,0.05157119406273836,-0.45209741780971413,1.4533333333333331,1963Q4
1964-01-01,16.197,4135.553,4091.4798025217415,3.4633333333333334,1.4301947546695448,1.0714341405549277,-0.5698052453304552,1.4633333333333334,1964Q1
1964-04-01,16.234,4180.592,4135.866758950207,3.49,1.4831634937502614,1.0755941569591698,-0.5168365062497386,1.4900000000000002,1964Q2
1964-07-01,16.299,4245.918,4180.802022452538,3.456666666666667,1.75155336646311,1.5454951268823791,-0.24844663353689,1.456666666666667,1964Q3
1964-10-01,16.373,4259.046,4225.922039152623,3.5766666666666667,1.3961295684531638,0.7807720421681097,-0.6038704315468362,1.5766666666666667,1964Q4
1965-01-01,16.455,4362.111,4272.250107271203,3.9766666666666666,1.5803342491043537,2.081546884459584,-0.4196657508956463,1.9766666666666666,1965Q1
1965-04-01,16.531,4417.225,4317.646712290367,4.079999999999999,1.8129597731891156,2.280115956421902,-0.1870402268108844,2.079999999999999,1965Q2
1965-07-01,16.595,4515.427,4364.56020480614,4.076666666666667,1.7997688934442202,3.398232673778878,-0.2002311065557798,2.076666666666667,1965Q3
1965-10-01,16.709,4619.458,4411.716106638424,4.166666666666667,2.031385975465083,4.601362860347358,0.03138597546508315,2.166666666666667,1965Q4
1966-01-01,16.816,4731.888,4459.595106458209,4.56,2.1701431739292065,5.926629859139609,0.17014317392920653,2.5599999999999996,1966Q1
1966-04-01,16.954,4748.046,4508.122290468056,4.913333333333333,2.5266388115338767,5.185244174768933,0.5266388115338767,2.913333333333333,1966Q2
1966-07-01,17.118,4788.254,4557.663922700653,5.41,3.1029096287479963,4.935564097490186,1.1029096287479963,3.41,1966Q3
1966-10-01,17.261,4827.537,4607.37472803029,5.5633333333333335,3.250212499254612,4.667817822899778,1.2502124992546122,3.5633333333333335,1966Q4
1967-01-01,17.333,4870.299,4658.411746113664,4.823333333333333,3.0281384824577984,4.4480768485131605,1.0281384824577984,2.8233333333333333,1967Q1
1967-04-01,17.421,4873.287,4710.251841362436,3.9899999999999998,2.7172580871808627,3.4027281981801494,0.7172580871808627,1.9899999999999998,1967Q2
1967-07-01,17.588,4919.392,4762.7520232570605,3.893333333333333,2.708630985914562,3.2359288310253476,0.7086309859145619,1.893333333333333,1967Q3
1967-10-01,17.784,4956.477,4816.313692140314,4.173333333333333,2.984955525734323,2.8686364812323006,0.984955525734323,2.173333333333333,1967Q4
1968-01-01,17.981,5057.553,4870.102307212856,4.79,3.670344589032748,3.776782497568121,1.670344589032748,2.79,1968Q1
1968-04-01,18.171,5142.033,4923.72150005846,5.983333333333333,4.21505416088972,4.33838795324295,2.2150541608897196,3.9833333333333334,1968Q2
1968-07-01,18.349,5181.859,4978.4108964151765,5.946666666666666,4.2358225784252745,4.00531291892765,2.2358225784252745,3.9466666666666663,1968Q3
1968-10-01,18.608,5202.212,5033.703280531088,5.916666666666667,4.5292419114413285,3.29279678573009,2.5292419114413285,3.916666666666667,1968Q4
1969-01-01,18.8,5283.597,5087.76751166427,6.566666666666666,4.4541224986403005,3.7767984241092734,2.4541224986403005,4.566666666666666,1969Q1
1969-04-01,19.039,5299.625,5140.28578422004,8.326666666666666,4.6662590308619745,3.052738537360433,2.6662590308619745,6.326666666666666,1969Q2
1969-07-01,19.307,5334.6,5190.883400210746,8.983333333333333,5.08926473508633,2.731001069297534,3.0892647350863296,6.9833333333333325,1969Q3
1969-10-01,19.556,5308.556,5240.14097132856,8.94,4.9690548940090284,1.2971457638814243,2.9690548940090284,6.9399999999999995,1969Q4
