policy_name,model_id,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,solver_status,improvement_vs_US_CPS10_baseline_pct,improvement_vs_US_CPS10_baseline_revealed_pct,improvement_vs_US_RA07_baseline_pct,improvement_vs_US_RA07_baseline_revealed_pct,improvement_vs_NK_CFP10_baseline_pct,improvement_vs_NK_CFP10_baseline_revealed_pct,improvement_vs_US_FRB03_baseline_pct,improvement_vs_US_FRB03_baseline_revealed_pct,improvement_vs_G7_TAY93_baseline_pct,improvement_vs_G7_TAY93_baseline_revealed_pct,improvement_vs_NK_GHP16_baseline_pct,improvement_vs_NK_GHP16_baseline_revealed_pct,improvement_vs_EA_SWW14_baseline_pct,improvement_vs_EA_SWW14_baseline_revealed_pct,improvement_vs_EA_SW03_baseline_pct,improvement_vs_EA_SW03_baseline_revealed_pct
sac_svar_revealed_direct,NK_CFP10,svar_revealed_direct,0.067874143247,0.050975043408,0.930722986847,55862.1629075261,621.095317349743,107750.559925957,1187.12158549343,103.996436021388,1032.47735457709,8.60204039812068,-0.575787869661078,5.2973562923388,ok,,,,,-2559.407786072929,-1109.72078141621,,,,,,,,,,
td3_benchmark_transfer,US_FRB03,benchmark_transfer,0.968164929181,1.178277175695,0.417105133444,15.9922033071105,0.147043902380599,3161.22796465737,28.9128262036012,0.0004744047197709,0.0052932204343447,1.43922887443656,0.0465109957385954,1.08837499690575,ok,,,,,,,65.11410288612224,-8.647213191506674,,,,,,,,
sac_benchmark_transfer,US_FRB03,benchmark_transfer,1.173557590574,1.021392382428,0.396672274455,16.1650137949471,0.148812801640416,3195.49316583507,29.2521522484232,0.0003736310587374,0.0056559375361621,1.45611201813597,0.0465593949498132,1.08026190526371,ok,,,,,,,64.7371286329131,-9.824862718533723,,,,,,,,
empirical_taylor_rule,US_FRB03,empirical_rule,0.193172811483,0.265768574867,0.869199767248,33.0525938738516,0.384318479680122,2545.58477006791,23.2185362095452,0.0179888157687471,0.506085094326966,1.13287116747891,0.174947937394969,1.60973258804081,ok,,,,,,,27.898028365028836,12.511627031428956,,,,,,,,
US_FRB03_baseline,US_FRB03,external_baseline,0.0,0.0,0.0,45.8414563767911,0.52402944646872,2909.62636941754,26.5576381390558,0.06905058058585,0.651923522257898,1.29017104753921,0.0706772961670866,1.27466479541386,ok,,,,,,,0.0,0.0,,,,,,,,
sac_svar_revealed_direct,US_FRB03,svar_revealed_direct,0.067874143247,0.050975043408,0.930722986847,301.242249866262,4.10300282700218,2837.79236643931,28.1996866031459,0.382050320447741,7.22837539822796,1.06764807440462,0.544972594399084,2.13910281077374,ok,,,,,,,-557.1393530568039,2.468839426713397,,,,,,,,
td3_svar_direct,US_FRB03,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,inf,inf,inf,inf,,,,,,failed,,,,,,,-inf,-inf,,,,,,,,
sac_svar_direct,US_FRB03,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,inf,inf,inf,inf,,,,,,failed,,,,,,,-inf,-inf,,,,,,,,
td3_benchmark_transfer,G7_TAY93,benchmark_transfer,0.968164929181,1.178277175695,0.417105133444,14.323089166014,0.134621647078493,2438.40211906782,22.3511777928444,0.0043130168884455,0.0384377507902612,1.11089754794917,0.0385850878186103,0.957839277209985,ok,,,,,,,,,29.271093076445986,-35.20255360817621,,,,,,
sac_benchmark_transfer,G7_TAY93,benchmark_transfer,1.173557590574,1.021392382428,0.396672274455,14.780982422681,0.139034962368224,2515.38210970511,23.0650525950415,0.0043575949457485,0.0400817560960609,1.14636489374445,0.0396549456875566,0.971369773565968,ok,,,,,,,,,27.009968457563506,-39.47087802829849,,,,,,
