policy_rate,inflation,output_gap,policy_rate_lag1,policy_rate_fitted,policy_rate_resid
5.506666666666667,1.5617409460253917,1.2549509023953576,5.533333333333334,5.536612418681468,-0.029945752014801208
5.52,1.1079288371958818,1.2397113531875448,5.506666666666667,5.421719403999546,0.09828059600045336
5.5,1.1457777319093587,1.1285864300141668,5.52,5.411086599168887,0.08891340083111299
5.533333333333334,1.1322847299959804,1.339770052050504,5.5,5.447222092972728,0.08611124036060591
4.86,1.0817241648669373,1.8855023784384528,5.533333333333334,5.61146699467424,-0.7514669946742396
4.733333333333333,1.2642897410799492,1.7586825777589965,4.86,5.027767806006272,-0.2944344726729389
4.746666666666667,1.4051952908000764,1.529802432444427,4.733333333333333,4.8840591399789846,-0.13739247331231752
5.093333333333334,1.3361338359626274,1.790403759411241,4.746666666666667,4.9515673180892215,0.14176601524411225
5.306666666666667,1.6079418295450232,2.3597338883396546,5.093333333333334,5.456705875366069,-0.15003920869940224
5.676666666666667,1.946080064002853,1.667956426817696,5.306666666666667,5.523601562392102,0.15306510427456477
6.273333333333333,2.190107681262532,2.4516394247521944,5.676666666666667,6.100623290687389,0.17271004264594403
6.52,2.419920505315609,1.5776295997319778,6.273333333333333,6.431355062200714,0.08864493779928573
6.473333333333334,2.4040017308323947,1.2469099833991137,6.52,6.554787715919714,-0.08145438258638027
5.593333333333334,2.400504592458663,0.04305429940067995,6.473333333333334,6.193602498581815,-0.6002691652484815
4.326666666666667,2.3790856797395676,-0.15096382802770592,5.593333333333334,5.373005230589979,-1.046338563923312
3.4966666666666666,2.1885322512144256,-1.3063726889850358,4.326666666666667,3.928137750852147,-0.4314710841854805
2.1333333333333333,1.9645670954720806,-1.7304796834013203,3.4966666666666666,3.050723653730655,-0.9173903203973217
1.7333333333333334,1.6191258588266422,-1.5478301217443757,2.1333333333333333,1.847527296532888,-0.11419396319955455
1.75,1.3680799113420683,-1.5524042287355044,1.7333333333333334,1.450136484250552,0.29986351574944803
1.74,1.4540094251135116,-1.7407035942341054,1.75,1.4311783387857417,0.30882166121425825
1.4433333333333334,1.7192780381606099,-2.198352124196745,1.74,1.3521004272957207,0.0912329060376127
1.25,1.8932758164861063,-2.253190250269732,1.4433333333333334,1.1132752190949506,0.13672478090504936
1.2466666666666668,1.8958724392106774,-1.957765139387746,1.25,1.0242462383713218,0.22242042829534503
1.0166666666666666,1.9880381747660714,-0.8991340270190662,1.2466666666666668,1.3205037021169859,-0.30383703545031926
0.9966666666666667,2.01661704884577,-0.3498269521365671,1.0166666666666666,1.272096975560578,-0.2754303088939113
1.0033333333333332,2.2399322561426516,-0.4055709989387424,0.9966666666666667,1.283036390780058,-0.27970305744672475
1.01,2.6924752830599807,-0.2628823518874057,1.0033333333333332,1.4141722230979403,-0.4041722230979403
1.4333333333333333,2.7542909041557095,0.04015171438531695,1.01,1.5124449174628296,-0.07911158412949626
1.95,2.919396556381937,0.4061641903795987,1.4333333333333333,2.009574689424963,-0.059574689424963134
2.47,3.0045529922428926,0.8710006320400865,1.95,2.5986500626135527,-0.1286500626135525
2.9433333333333334,2.918035295268062,0.7414110598988444,2.47,2.9994802389092587,-0.05614690557592539
3.4599999999999995,3.193383951284723,0.9101541884476205,2.9433333333333334,3.5089379568868226,-0.04893795688682312
3.98,3.2394685469278706,0.8642366974097371,3.4599999999999995,3.9547233680500327,0.02527663194996732
4.456666666666667,3.1492702384293025,1.616482354282489,3.98,4.58920664235185,-0.13253997568518283
4.906666666666667,3.301317736268672,1.3075173930252149,4.456666666666667,4.950783463272794,-0.04411679660612666
5.246666666666667,3.0898193877564317,0.9175328045810005,4.906666666666667,5.197421979637572,0.04924468702909479
5.246666666666667,2.628317732813823,1.2601615616674167,5.246666666666667,5.494860284791865,-0.2481936181251978
5.256666666666667,2.868650821896157,1.047552809658292,5.246666666666667,5.484781378276569,-0.22811471160990227
5.25,2.6922644815723373,1.1448535909197588,5.256666666666667,5.485259820650839,-0.23525982065083895
