rank,policy_name,model_id,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,converged,iterations,max_fixed_point_gap,clip_rate,start,end,intercept,inflation_coeff,output_coeff,lagged_rate_coeff,policy_parameterization,revealed_improvement_vs_baseline_pct
12,fine_38,pyfrbus,0.012608463245104895,0.0005778633668786644,0.01596727524463569,0.0007233834433723699,0.0004136971036457194,0.0003281296922159136,1.0141712498818222e-06,3.0050284543445476,6.994002586518509e-07,True,5,0.0,0.0,2040Q1,2045Q4,1.005,-0.002,0.0,0.0,linear_rule,13.957937768182708
13,fine_07,pyfrbus,0.012617966941252994,0.0005782704592852428,0.015967399396114027,0.0007234257769906171,0.0004135218709798827,0.00032930247248091253,9.735206490391938e-07,3.005011269459491,3.182254557744e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.0,-0.002,0.01,linear_rule,13.957268759284094
14,const_1p005,pyfrbus,0.012612749947478814,0.0005780252040314024,0.015970223044488974,0.0007234989022825022,0.00041349916890315845,0.00032885246102252113,9.980461698347509e-07,3.0049879122802925,5.793557380987016e-08,True,5,0.0,0.0,2040Q1,2045Q4,1.005,0.0,0.0,0.0,linear_rule,13.942053105675345
15,fine_44,pyfrbus,0.012612749947478814,0.0005780252040314024,0.015970223044488974,0.0007234989022825022,0.00041349916890315845,0.00032885246102252113,9.980461698347509e-07,3.0049879122802925,5.793557380987016e-08,True,5,0.0,0.0,2040Q1,2045Q4,1.005,0.0,0.0,0.0,linear_rule,13.942053105675345
16,fine_13,pyfrbus,0.012622372424654502,0.0005784375759116467,0.01597074608931377,0.0007235586871825666,0.00041332177405431107,0.0003300400593982725,9.577215819939171e-07,3.0049702153528277,3.099874729854269e-05,True,5,0.0,0.0,2040Q1,2045Q4,0.995,0.002,-0.002,0.01,linear_rule,13.939234600033302
17,fine_50,pyfrbus,0.012617166249887821,0.000578193444416614,0.01597345929811711,0.0007236281342106113,0.0004133013543507317,0.0003295877700649509,9.820503340694255e-07,3.0049473888722376,7.930176522114445e-07,True,5,0.0,0.0,2040Q1,2045Q4,1.005,0.002,0.0,0.0,linear_rule,13.924614066653106
18,fine_36,pyfrbus,0.01261754091987788,0.0005782476006981335,0.015974433588539776,0.000723713292523849,0.00041349479385346006,0.00032930782401450337,9.88948374218389e-07,3.0050037346122225,2.789032394555685e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.005,-0.002,-0.002,0.0,linear_rule,13.919363956293354
19,fine_42,pyfrbus,0.012621936846758358,0.000578414670485978,0.015977675997589633,0.000723842270779377,0.00041329650629864364,0.0003300417233059999,9.730253433437482e-07,3.004963066444551,2.7092009322558165e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.005,0.0,-0.002,0.0,linear_rule,13.90189174785613
20,fine_48,pyfrbus,0.012626462988422318,0.0005785881743034227,0.01598120794367768,0.0007239850763026237,0.0004130983393942766,0.00033078822350400165,9.572315714532859e-07,3.004922417004032,2.630685558152632e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.005,0.002,-0.002,0.0,linear_rule,13.882859325576746
21,fine_31,pyfrbus,0.013064921738734463,0.0006065411748076294,0.017801713474123147,0.0008140371660886361,0.0004387291647838026,0.0003348265594461472,3.987303007531736e-06,3.0100223814468965,4.5614279104603504e-05,True,5,0.0,0.0,2040Q1,2045Q4,1.0,0.002,-0.002,0.01,linear_rule,4.0727916876069665
