seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
7,43,-111.22220780157721,0.0,1.9965118896143395,-44.37358638471488,33.97553683859477,0.0
7,44,-129.37153462805497,0.0,2.0282644209505634,-39.278523782349545,30.05549594774442,0.0
7,45,-111.7578667048309,0.0,1.9134626424056478,-39.84287235863541,30.761790729710896,0.0
7,46,-121.93048707184744,0.0,1.966533675968094,-34.54310263570045,26.83857838241492,0.0
7,47,-100.17556591661767,0.0,1.8835674454785476,-33.59998421141638,26.18779622718317,0.0
7,48,-90.55415422472949,0.0,1.882019503799711,-35.94710783218137,28.30652316342284,0.0
7,49,-110.42965823519052,0.0,2.032378851366957,-34.06274214024693,26.762914275544897,0.0
7,50,-110.42130799437354,0.0,2.1086621002650645,-34.98951132421581,27.45632691150541,0.0
7,51,-114.60814222757591,0.0,1.9648915993820992,-36.45609408893527,28.581607956692782,0.0
7,52,-106.24211193678781,0.0,1.8885025362051238,-35.03109721910652,27.437195015848797,0.0
7,53,-119.77652621351308,0.0,1.9415137465111911,-35.70918704436353,28.19565223878965,0.0
7,54,-111.6940171265431,0.0,2.0150857601511234,-33.90422331947338,26.504350323583832,0.0
7,55,-116.25042677170615,0.0,1.9740251249204448,-31.616709983982393,24.78343320488426,0.0
7,56,-104.91788976940573,0.0,1.9523832896661588,-31.20521615837001,24.562000106153977,0.0
7,57,-112.4631136568198,0.0,1.931995339066816,-29.837931299817665,23.463567017448117,0.0
7,58,-115.99981485628963,0.0,1.9865530596980534,-30.517883922983128,24.038475980510643,0.0
7,59,-102.59863278478436,0.0,2.0164717638213006,-30.053133609625434,23.57293132756111,0.0
7,60,-110.54989393557256,0.0,1.9651368966624432,-28.051023060962603,21.775866351987617,0.0
7,61,-113.99650696494457,0.0,1.9066819634499552,-28.19849038162323,21.918797610362674,0.0
7,62,-96.02921264439476,0.0,1.8970984343468444,-29.221102675697423,22.815882672186465,0.0
7,63,-117.92847274847165,0.0,1.9333661912751268,-27.726500385158754,21.69810503621971,0.0
7,64,-119.71067317533908,0.0,1.878321896216221,-28.972823903862977,22.519031357136722,0.0
7,65,-111.357586694296,0.0,2.0258770936052315,-27.62283268052357,21.31377327995573,0.0
7,66,-106.22864665840049,0.0,1.8519775610111537,-26.542967158403826,20.643585209145915,0.0
7,67,-104.82999502889596,0.0,1.962007570818514,-26.275753006356414,20.322387225948923,0.0
7,68,-91.86703882133007,0.0,1.8858737654554716,-26.808915638406063,20.733770773626876,0.0
7,69,-114.86393721039907,0.0,1.7660770979800873,-28.347403676108446,21.853983260821824,0.0
7,70,-100.75705291821708,0.0,1.8750269740739895,-31.86193007724614,24.735498373937066,0.0
7,71,-109.21116183569471,0.0,1.9809636913560098,-32.257906576785885,24.911402491856915,0.0
7,72,-99.85930095068434,0.0,1.8900522526064378,-33.229913642284124,25.72309943817174,0.0
7,73,-89.1642773010545,0.0,1.7777454355091322,-33.245145114244444,25.778589568706632,0.0
7,74,-114.40654734064515,0.0,1.9695170965178477,-31.29599867908605,24.093393052463995,0.0
7,75,-107.28503415084907,0.0,1.9448343498916074,-31.56265374270308,24.283595818128703,0.0
7,76,-95.1300982979235,0.0,1.885420237400922,-30.303101976674537,23.45243521448448,0.0
7,77,-99.78128888569105,0.0,1.9268447203303367,-31.224194927238344,24.21931972641075,0.0
7,78,-102.28741171706308,0.0,1.848637634426268,-34.54224763711161,26.761122885225433,0.0
7,79,-101.48701447381102,0.0,1.9315082269095,-35.240549103944055,27.544120167568195,0.0
7,80,-92.45593513368323,0.0,1.8763521064670385,-33.32922714696253,26.081963122750523,0.0
7,81,-90.28662132748757,0.0,1.8296128060828778,-33.03015684061469,25.9364911266736,0.0
7,82,-97.12958209761534,0.0,1.8384054425623617,-30.140375597102835,23.583266256024647,0.0
7,83,-86.42576306656264,0.0,1.8447483390846173,-30.477576760130912,23.975674045207228,0.0
7,84,-91.03300517558883,0.0,1.800081009400401,-29.932002031693923,23.449415023408903,0.0
7,85,-73.1046651359664,0.0,1.7765924919840472,-31.560139113528464,24.61094655006816,0.0
7,86,-86.69824507092466,0.0,1.9008228167622292,-33.67324305176735,26.134763976165186,0.0
7,87,-87.43790187038145,0.0,1.785417794921159,-33.030604333630585,25.68639946397168,0.0
7,88,-97.48615907439935,0.0,1.880524097929083,-34.55383638571811,26.55567318563971,0.0
7,89,-74.1847452491009,0.0,1.743153485142102,-35.461929331944624,27.59522463860473,0.0
7,90,-101.51419493473293,0.0,1.8341058166060975,-33.592003419274356,26.029235233743762,0.0
7,91,-94.41880503168424,0.0,1.7013716846904572,-33.43629767291733,25.76386023859315,0.0
7,92,-90.42143791235857,0.0,1.8199298281824667,-33.24110968845678,25.48844253459082,0.0
7,93,-85.7821942408818,0.0,1.798278288817528,-32.051559717141465,24.820913088629272,0.0
7,94,-96.46993438657607,0.0,1.7902933288060012,-31.04424952592765,24.028769793902075,0.0
7,95,-75.67990718034919,0.0,1.7462017685938918,-29.71070155986189,22.940268657259555,0.0
7,96,-76.06345400453804,0.0,1.7318076280475907,-30.609013003343623,23.737680626933635,0.0
7,97,-86.8385064478163,0.0,1.7742333079086166,-29.524803866779177,22.97615666874225,0.0
7,98,-95.24599838088324,0.0,1.8137603507057065,-27.423317976104197,21.598702560604753,0.0
7,99,-90.869740110374,0.0,1.7186507660280768,-28.140201477722087,22.10240116019682,0.0
7,100,-77.5309959601613,0.0,1.7274478878225636,-27.00637576817068,21.477598359234175,0.0
7,101,-85.53485541623698,0.0,1.7614426376403571,-25.499654406389592,20.010808258677706,0.0
7,102,-85.13649099688585,0.0,1.768298550430245,-24.502490749378364,19.2796958947327,0.0
7,103,-84.51351285192845,0.0,1.8433274904527934,-24.4504960093427,19.197085182562535,0.0
7,104,-76.64635998325352,0.0,1.8245731972319845,-25.20787606361108,19.943859235087558,0.0
7,105,-85.96222388450308,0.0,1.7181973215956532,-24.063951941424094,18.850767581117037,0.0
7,106,-83.70893968149358,0.0,1.8609677054573694,-25.169614360533217,19.688404907000752,0.0
7,107,-78.18543536028159,0.0,1.8898433442991518,-25.36421245870976,19.894609091298715,0.0
7,108,-77.62202246030608,0.0,1.7481517851515491,-24.455550549837955,19.16844607632674,0.0
7,109,-76.39431521665472,0.0,1.7733990533324686,-24.183975091049234,18.89615624016601,0.0
7,110,-90.24022537852218,0.0,1.850737149718043,-27.101232518763855,21.07156626470422,0.0
7,111,-82.68178709867775,0.0,1.7592631593370243,-26.42116335421183,20.737768718646766,0.0
7,112,-79.4618412283912,0.0,1.8225053044716333,-27.367666049695103,21.35063184689794,0.0
7,113,-67.86620195623927,0.0,1.7487859317361654,-27.294591247851518,21.320870694260357,0.0
7,114,-78.58700699387214,0.0,1.8165219677084679,-27.50389886180929,21.6184795648137,0.0
7,115,-81.9660503678304,0.0,1.8068769603828514,-26.378144525392486,20.731431399276293,0.0
7,116,-84.05873387238171,0.0,1.7192424142031086,-26.458187660393474,20.63306582043687,0.0
7,117,-83.28038378873944,0.0,1.850057172585366,-27.056954773692997,21.033769326826203,0.0
7,118,-72.69549006225333,0.0,1.7657718454920541,-26.688697990647558,20.54625960231176,0.0
7,119,-77.53664110963705,0.0,1.747145903985711,-27.84194258061291,21.12321973156229,0.0
29,0,-152.00321592570643,0.0,2.0904731684859144,-50.96648027250463,38.0501939715278,0.0
29,1,-112.53276046231991,0.0,2.0344042315009574,-56.74664032753038,43.01322789800539,0.0
