algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,env_id,group,tier,step
ppo,29,20.0,-237.0524268099549,0.0,2.029814614699262,-127.70027432262047,101.57497869821997,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,29,40.0,-222.93446148633024,0.0,2.0260894013754296,-100.76659945716162,79.49817004683723,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,29,60.0,-187.68318282044606,0.0,1.853406371874371,-88.71179705950371,70.32099743745022,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,29,80.0,-192.74595892981114,0.0,1.9000679630439663,-89.4271165077012,70.5705439206678,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,29,100.0,-164.41618266517418,0.0,1.8886933858302655,-76.65284202891895,60.222590979646306,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,29,120.0,-128.84073151049762,0.0,1.7029589836074592,-75.7061346204217,60.51491911837957,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,29,140.0,-121.86382280045638,0.0,1.7234074438870266,-70.40317958841308,56.55677532874344,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,29,159.0,-124.66429620862917,0.0,1.6268354539470238,-65.73800992452297,53.71133050220614,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,0.0,-258.57260385819956,0.0,1.9623257359016861,-138.20320036452858,106.19837488023236,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,20.0,-222.6367880950073,0.0,2.0041934791101994,-128.84183542696786,102.37270109321761,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,40.0,-269.4209231842146,0.0,2.002816131676809,-98.90448263311926,78.0688521083494,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,60.0,-204.17598714455457,0.0,1.8765818976789888,-85.99561361647817,68.21979459806576,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,80.0,-213.3791021024257,0.0,1.8509316083936938,-86.5408068123867,68.36642366609689,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,100.0,-166.16590323987785,0.0,1.7622989020474051,-74.07612458195476,58.26016989896292,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,120.0,-129.05723443117762,0.0,1.6668118097732076,-75.97835437877384,60.76281309771609,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,140.0,-129.8269828187723,0.0,1.6975183471367927,-71.30329069418032,57.079179747984,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,43,159.0,-137.87818383009633,0.0,1.7475045100109128,-64.98605247622807,52.90800208642412,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,0.0,-321.3503130933142,0.0,2.1677560474633992,-137.47253918412088,105.66631126073975,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,20.0,-200.89689213843866,0.0,2.0158444921617047,-125.14535550872068,99.6702042626292,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,40.0,-224.43473753334484,0.0,1.902954887937085,-99.00899274119274,78.1629781437207,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,60.0,-211.50700740884776,0.0,1.9797063618389075,-87.69504343128935,69.51747768087446,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,80.0,-229.45761544258968,0.0,1.932625235802334,-89.46811928739007,70.80389908573319,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,100.0,-167.70499000308735,0.0,1.7682249436506936,-78.78320767461742,61.81470988487805,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,120.0,-147.628754961196,0.0,1.8147236655872803,-78.00211084472251,62.20668397269853,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,140.0,-143.83987601298077,0.0,1.645373051102979,-71.65284721796567,57.37337147442416,0.0,asymmetric_very_strong,asymmetric,very_strong,
ppo,7,159.0,-125.47063539201359,0.0,1.60494598171681,-65.03982175186518,53.01043572717929,0.0,asymmetric_very_strong,asymmetric,very_strong,
sac,29,,,,,-55.30006195475154,45.214265419518526,0.0,asymmetric_very_strong,asymmetric,very_strong,3000.0
sac,29,,,,,-54.9153820770982,44.42924130894559,0.0,asymmetric_very_strong,asymmetric,very_strong,6000.0
sac,29,,,,,-52.47765823510451,42.545958981715515,0.0,asymmetric_very_strong,asymmetric,very_strong,9000.0
sac,29,,,,,-57.18097115082775,47.375931520628555,0.0,asymmetric_very_strong,asymmetric,very_strong,12000.0
sac,43,,,,,-56.04270885082123,45.82992160171155,0.0,asymmetric_very_strong,asymmetric,very_strong,3000.0
sac,43,,,,,-57.11288803287981,46.08314081323758,0.0,asymmetric_very_strong,asymmetric,very_strong,6000.0
sac,43,,,,,-52.582453836352855,42.55265415319919,0.0,asymmetric_very_strong,asymmetric,very_strong,9000.0
sac,43,,,,,-56.83579361005202,47.16073474981127,0.0,asymmetric_very_strong,asymmetric,very_strong,12000.0
sac,7,,,,,-56.422519523747084,46.11457046797416,0.0,asymmetric_very_strong,asymmetric,very_strong,3000.0
sac,7,,,,,-55.07515442961352,44.55333326874626,0.0,asymmetric_very_strong,asymmetric,very_strong,6000.0
sac,7,,,,,-52.868653623340194,42.80375921152076,0.0,asymmetric_very_strong,asymmetric,very_strong,9000.0
sac,7,,,,,-56.252417042443,46.69464592855692,0.0,asymmetric_very_strong,asymmetric,very_strong,12000.0
td3,29,,,,,-50.799275772467595,41.13962549640574,0.0,asymmetric_very_strong,asymmetric,very_strong,3000.0
