env_id,group,tier,algo,mean_discounted_loss,std_discounted_loss,median_discounted_loss,mean_reward,mean_clip_rate,mean_explosion_rate,best_loss_in_env,loss_gap_vs_best_rl_pct
asymmetric_very_strong,asymmetric,very_strong,td3,47.29425515627417,2.7493883417079172,48.2278527799189,-58.49010555704959,0.0,0.0,44.65188198401038,5.917719600732639
asymmetric_extreme,asymmetric,extreme,ppo,97.8439318887444,11.83645237290957,99.93480534150473,-120.06714113429236,0.0,0.0,75.1537175511912,30.19173911403341
asymmetric_extreme,asymmetric,extreme,sac,75.1537175511912,6.426458031019428,76.83210067053369,-91.78839704855375,0.0,0.0,75.1537175511912,0.0
asymmetric_extreme,asymmetric,extreme,td3,75.89468377130927,4.373233796803086,77.95395060267262,-92.53189731681051,0.0,0.0,75.1537175511912,0.9859342215684226
benchmark,benchmark,,ppo,21.074324741974696,0.4176200741045121,21.05080699850655,-26.690986632662668,0.0,0.0,16.663788982435474,26.46778451280296
benchmark,benchmark,,sac,16.663788982435474,0.1444749079317451,16.73729505310729,-21.00810024357665,0.0,0.0,16.663788982435474,0.0
benchmark,benchmark,,td3,18.043690613998795,0.2604591988417035,18.183310394107156,-22.82925956472653,0.0,0.0,16.663788982435474,8.280839567866655
nonlinear_mild,nonlinear,mild,ppo,20.49030984054728,1.1127734129427735,21.086974704892167,-26.93877217905062,0.0,0.0,14.378378735618838,42.50779046310458
nonlinear_mild,nonlinear,mild,sac,14.378378735618838,0.2226508076654159,14.318456700413543,-18.73215721374876,0.0,0.0,14.378378735618838,0.0
nonlinear_mild,nonlinear,mild,td3,15.174234266201925,0.2899800166984299,15.294706390086626,-19.80165822922736,0.0,0.0,14.378378735618838,5.535085319539896
nonlinear_medium,nonlinear,medium,ppo,21.3660121460795,1.1067320380844006,21.977302150900677,-27.804539020145484,0.0,0.0,15.26625235739553,39.95584276928989
nonlinear_medium,nonlinear,medium,sac,15.26625235739553,0.181286899347615,15.35616413018287,-19.69899876223921,0.0,0.0,15.26625235739553,0.0
nonlinear_medium,nonlinear,medium,td3,16.17350533913487,0.4900729226391543,16.23067195416274,-20.868034016759378,0.0,0.0,15.26625235739553,5.942866399033642
nonlinear_strong,nonlinear,strong,ppo,26.671756407063302,0.8704294784930607,27.00874805977515,-34.43569886552809,0.0,0.0,16.57784580992198,60.8879507800708
