policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,env_id,group,tier,algo,seed
sac,0.15005056323856122,1.0396440818190573,0.923084178727865,0.48153237675428395,0.20257340602421595,nonlinear_mild,nonlinear,mild,sac,7.0
td3,0.0940867704600096,0.8068121348381042,1.0726943361759187,0.33672091510295876,0.32207943966036623,nonlinear_mild,nonlinear,mild,td3,29.0
td3,0.25599518170952806,1.051383738207817,0.8746129240274427,0.48944411501884466,0.37731959999021525,nonlinear_mild,nonlinear,mild,td3,43.0
td3,0.08806535366177562,0.9111396211385725,1.0859425896883008,0.41536454961299896,0.3389363720917425,nonlinear_mild,nonlinear,mild,td3,7.0
ppo,-0.03852151887491346,0.26653512031904286,0.31014975996741234,0.0942406135989087,0.004179924810529545,nonlinear_strong,nonlinear,strong,ppo,29.0
ppo,-0.006575491886585948,0.28198591202497486,0.304687286491905,0.11940393649680275,0.004668574304666151,nonlinear_strong,nonlinear,strong,ppo,43.0
ppo,0.007218681761994958,0.25806445078338897,0.2792185101796475,0.12414831743282934,0.003787578200333774,nonlinear_strong,nonlinear,strong,ppo,7.0
sac,-0.05591454741358755,0.9705115044968471,1.0922022377763478,0.36780654747145525,0.31540252488246473,nonlinear_strong,nonlinear,strong,sac,29.0
sac,0.272961569517851,1.2750026030199868,0.9772456471409117,0.35274148763929103,0.43857483534801966,nonlinear_strong,nonlinear,strong,sac,43.0
sac,-0.4793879131097347,1.0801397424425399,1.1241758243686393,0.3243582421381559,0.3932420334912075,nonlinear_strong,nonlinear,strong,sac,7.0
td3,0.21715419679880155,0.8659165662356785,0.9694262673173631,0.19832216971261163,0.43140336510915944,nonlinear_strong,nonlinear,strong,td3,29.0
td3,0.0686090617477894,1.155118346112115,1.22791216640813,0.28416667584010535,0.806028936425791,nonlinear_strong,nonlinear,strong,td3,43.0
td3,0.005620401538908602,1.0936524897004878,1.0908265217840674,0.3747758955742633,0.4762149288586413,nonlinear_strong,nonlinear,strong,td3,7.0
ppo,1.4099080758094789,0.2906625048319497,0.29344617017110164,-0.16592457071940153,0.036630104378005277,zlb_medium,zlb,medium,ppo,29.0
ppo,1.4801415500640873,0.29590849494934096,0.2939753487904867,-0.191359977722169,0.03584696174414808,zlb_medium,zlb,medium,ppo,43.0
ppo,1.4187737785975143,0.31726418368021647,0.3117804902394611,-0.2210514534844298,0.04504807707840445,zlb_medium,zlb,medium,ppo,7.0
sac,-0.1655698442459108,0.12866883722941103,0.27624341328938806,0.16062549336751308,0.1637186508514537,zlb_medium,zlb,medium,sac,29.0
sac,-0.19623824564615885,0.2873639437357586,0.18330444081624347,-0.04537333085801876,0.15328607097165775,zlb_medium,zlb,medium,sac,43.0
sac,-0.276807065010071,0.14543772888183593,0.2811165885925292,0.055718653361002596,0.17063754077693918,zlb_medium,zlb,medium,sac,7.0
td3,0.7789302663803105,0.656505903879802,0.6610026652018228,0.08069397226969358,0.6499199520174453,zlb_medium,zlb,medium,td3,29.0
td3,-0.2179797693888349,0.34969283612569185,0.2536482461293539,0.10789311811659082,0.541630164163303,zlb_medium,zlb,medium,td3,43.0
td3,-0.16956036074956293,0.40779618326822903,0.15188620948791504,0.07092298041449653,0.3561475227361733,zlb_medium,zlb,medium,td3,7.0
ppo,0.6819133942921958,0.37008552360534674,0.3319105962117512,-0.11967654101053887,0.04210045156724994,zlb_mild,zlb,mild,ppo,29.0
ppo,0.7145969731012979,0.3785565719604491,0.3605647837320963,-0.16649717648824064,0.047637841106206044,zlb_mild,zlb,mild,ppo,43.0
ppo,0.7631295735041301,0.353046780904134,0.36075511423746726,-0.15537196222941083,0.04200312666623724,zlb_mild,zlb,mild,ppo,7.0
sac,-0.06558207321167048,0.5430826466878249,0.6182812569936109,0.328598702748616,0.3646185635825333,zlb_mild,zlb,mild,sac,29.0
