algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,env_id,group,tier,step
sac,43,,,,,-24.271744572698488,19.25525135531302,0.0,asymmetric_mild,asymmetric,mild,3000.0
sac,43,,,,,-23.936040488118433,18.83129512312544,0.0,asymmetric_mild,asymmetric,mild,6000.0
sac,43,,,,,-23.410936812718198,18.478108181373727,0.0,asymmetric_mild,asymmetric,mild,9000.0
sac,7,,,,,-23.79155129943966,18.907123888652478,0.0,asymmetric_mild,asymmetric,mild,3000.0
sac,7,,,,,-24.18579446857445,19.047788826402297,0.0,asymmetric_mild,asymmetric,mild,6000.0
sac,7,,,,,-22.8748615014252,18.095415194129117,0.0,asymmetric_mild,asymmetric,mild,9000.0
td3,29,,,,,-22.44806457757877,17.746103900955895,0.0,asymmetric_mild,asymmetric,mild,3000.0
td3,29,,,,,-24.898651024799598,19.47388123239778,0.0,asymmetric_mild,asymmetric,mild,6000.0
td3,29,,,,,-22.85535641365488,17.93436255386367,0.0,asymmetric_mild,asymmetric,mild,9000.0
td3,43,,,,,-26.56716154550424,20.93438467343993,0.0,asymmetric_mild,asymmetric,mild,3000.0
td3,43,,,,,-25.01320072589489,19.563777851413256,0.0,asymmetric_mild,asymmetric,mild,6000.0
td3,43,,,,,-24.937774717167905,19.519846377902986,0.0,asymmetric_mild,asymmetric,mild,9000.0
td3,7,,,,,-25.357999734404697,20.008625168424373,0.0,asymmetric_mild,asymmetric,mild,3000.0
td3,7,,,,,-24.802511930254987,19.387405948481472,0.0,asymmetric_mild,asymmetric,mild,6000.0
td3,7,,,,,-23.881835920834224,18.695691396455313,0.0,asymmetric_mild,asymmetric,mild,9000.0
ppo,29,0.0,-200.4100580779026,0.0,2.0904731684859144,-90.95518719782424,68.64795990528941,0.0,asymmetric_strong,asymmetric,strong,
ppo,29,20.0,-181.88822701069597,0.0,2.0220018414602237,-81.96455887890738,63.72640797151591,0.0,asymmetric_strong,asymmetric,strong,
ppo,29,40.0,-171.30045846622738,0.0,2.0145638527064875,-63.98918571972171,49.30333371838207,0.0,asymmetric_strong,asymmetric,strong,
ppo,29,60.0,-143.05313156822825,0.0,1.8387973342323676,-56.36332409716636,43.649506886819765,0.0,asymmetric_strong,asymmetric,strong,
ppo,29,80.0,-140.33555489436682,0.0,1.8773803459935152,-57.01594870073444,43.897716999065665,0.0,asymmetric_strong,asymmetric,strong,
ppo,29,100.0,-115.46205891727175,0.0,1.8406904138464597,-46.48532321288887,35.72847881345456,0.0,asymmetric_strong,asymmetric,strong,
ppo,29,119.0,-93.5191129602467,0.0,1.6804478671765537,-46.95639332079311,36.485255266912,0.0,asymmetric_strong,asymmetric,strong,
ppo,43,0.0,-193.33980100745305,0.0,1.9623257359016861,-91.27382776706419,68.87054793536916,0.0,asymmetric_strong,asymmetric,strong,
ppo,43,20.0,-174.09602442588218,0.0,1.997618702526779,-83.54452104182519,64.84710882298668,0.0,asymmetric_strong,asymmetric,strong,
ppo,43,40.0,-206.26368819298955,0.0,1.9914920515511767,-63.36055849097999,48.82615629443696,0.0,asymmetric_strong,asymmetric,strong,
ppo,43,60.0,-151.92619365188176,0.0,1.860326929587245,-54.644716006012075,42.35836220971568,0.0,asymmetric_strong,asymmetric,strong,
ppo,43,80.0,-154.69891794669445,0.0,1.8336667905577997,-55.25424662337653,42.61239506121129,0.0,asymmetric_strong,asymmetric,strong,
ppo,43,100.0,-116.1756957561463,0.0,1.705232607729613,-44.20135076894495,34.07152803094924,0.0,asymmetric_strong,asymmetric,strong,
ppo,43,119.0,-104.2973475605588,0.0,1.732717760198284,-46.00928925375276,35.79820196982457,0.0,asymmetric_strong,asymmetric,strong,
ppo,7,0.0,-233.57275453238225,0.0,2.1677560474633992,-90.76738427461873,68.50903927269529,0.0,asymmetric_strong,asymmetric,strong,
ppo,7,20.0,-156.65950707033886,0.0,2.0150573984064977,-80.44759108550245,62.615152630756114,0.0,asymmetric_strong,asymmetric,strong,
ppo,7,40.0,-171.76326854917863,0.0,1.8977556033605651,-62.93709010085723,48.523263320254244,0.0,asymmetric_strong,asymmetric,strong,
ppo,7,60.0,-162.98683470426982,0.0,1.9701369705580873,-56.001651304945014,43.364565419740316,0.0,asymmetric_strong,asymmetric,strong,
ppo,7,80.0,-167.77821950607498,0.0,1.9174977768634562,-56.34691680613972,43.604962000276544,0.0,asymmetric_strong,asymmetric,strong,
ppo,7,100.0,-117.55164779770968,0.0,1.757381117937257,-46.86514037181139,35.981226760499524,0.0,asymmetric_strong,asymmetric,strong,
ppo,7,119.0,-94.97521782500239,0.0,1.7240726055551931,-47.238360826054276,36.6852689970076,0.0,asymmetric_strong,asymmetric,strong,
